"","Module Membership","significance"
"",NA,NA
"OTU_1",0.932182610862131,6.6e-54
"OTU_5",0.613754008844094,9.1e-14
"OTU_50",0.853413832997339,3.5e-35
"OTU_135",0.79909808317058,7.7e-28
"OTU_188",0.631476666868812,1.1e-14
"OTU_329",0.73540778784494,1.1e-21
"OTU_597",0.894235210280036,5.2e-43
"OTU_944",0.752840035058463,3.6e-23
"OTU_1046",0.711397423335167,8.6e-20
"OTU_1251",0.678158011928053,1.8e-17
"OTU_2293",0.916818724560435,7.2e-49
"OTU_5886",0.751995351536181,4.2e-23
"OTU_7063",0.680323509144336,1.3e-17
"OTU_8100",0.507733540013211,3.2e-09
"OTU_8875",0.701591392157461,4.5e-19
"OTU_11791",0.910428643293094,4.7e-47
"OTU_14601",0.810123609611025,3.9e-29
"OTU_14736",0.832881219500429,4.2e-32
"OTU_18617",0.656456092067494,4e-16
"OTU_22141",0.753713585845108,3e-23
"OTU_24090",0.769399860123776,1e-24
"OTU_2",0.912268409227583,1.5e-47
"OTU_82",0.610948279262255,1.3e-13
"OTU_5766",0.72485902402603,8e-21
"OTU_11423",0.784490202440388,3e-26
"OTU_12734",0.861713127173933,1.4e-36
"OTU_14617",0.532124544818975,4e-10
"OTU_20055",0.657490523812956,3.4e-16
"OTU_21739",0.816605485345012,6.1e-30
"OTU_22064",0.820226112433499,2.1e-30
"OTU_22802",0.841837517434655,2.2e-33
"OTU_4",-0.687202340588564,4.4e-18
"OTU_18",0.638021127679537,4.6e-15
"OTU_30",-0.669314165166811,6.5e-17
"OTU_31",0.89775865948514,7.9e-44
"OTU_40",-0.780638843020855,7.6e-26
"OTU_42",0.764360801929747,3.1e-24
"OTU_43",0.588862346722165,1.5e-12
"OTU_66",0.627438309532352,1.7e-14
"OTU_103",0.694286459327933,1.5e-18
"OTU_111",0.777669374394644,1.5e-25
"OTU_115",0.825701986932371,4e-31
"OTU_123",0.635466053330389,6.4e-15
"OTU_124",-0.694025812585879,1.5e-18
"OTU_140",0.798540764300767,8.9e-28
"OTU_148",0.628209490782859,1.6e-14
"OTU_162",0.474455767079293,4.4e-08
"OTU_165",-0.594582348821185,8.1e-13
"OTU_170",0.779798109234386,9.3e-26
"OTU_176",0.832506372337546,4.8e-32
"OTU_180",0.620609958477212,4e-14
"OTU_194",0.786355968318831,1.9e-26
"OTU_197",0.705365805146731,2.4e-19
"OTU_211",0.74092129241714,3.9e-22
"OTU_216",0.733884827279189,1.5e-21
"OTU_242",-0.616339572532236,6.7e-14
"OTU_267",-0.64602075887888,1.6e-15
"OTU_273",0.737441902529949,7.6e-22
"OTU_285",0.748260260753469,9.1e-23
"OTU_292",0.617427559164187,5.9e-14
"OTU_307",0.404118203109546,4.7e-06
"OTU_343",-0.564112787549535,2e-11
"OTU_347",0.747480377591088,1.1e-22
"OTU_365",-0.642086622499712,2.7e-15
"OTU_390",-0.468492833046525,6.8e-08
"OTU_394",0.593284530441816,9.3e-13
"OTU_407",0.752350311945876,3.9e-23
"OTU_440",0.748420626005737,8.8e-23
"OTU_473",-0.678479634804461,1.7e-17
"OTU_540",-0.485221985278182,1.9e-08
"OTU_544",-0.5951932490465,7.5e-13
"OTU_622",0.741922279265701,3.2e-22
"OTU_628",0.557839152250364,3.6e-11
"OTU_774",0.65723667068099,3.6e-16
"OTU_797",0.625371326308223,2.2e-14
"OTU_985",0.783341531248217,4e-26
"OTU_1017",0.693342006310713,1.7e-18
"OTU_1253",0.707747067831739,1.6e-19
"OTU_1360",0.73125325763227,2.5e-21
"OTU_1826",-0.30405195189392,0.00074
"OTU_3446",0.477214541905799,3.6e-08
"OTU_4247",-0.774688570427451,3.1e-25
"OTU_4687",0.56839021908359,1.3e-11
"OTU_6522",0.728075272707335,4.5e-21
"OTU_7888",0.724840566602044,8e-21
"OTU_8148",-0.386840632196093,1.3e-05
"OTU_8598",0.676122963769396,2.4e-17
"OTU_10345",-0.601686154065326,3.7e-13
"OTU_10401",-0.363759473196182,4.4e-05
"OTU_10917",-0.687712581604844,4.1e-18
"OTU_10998",0.723267427057724,1.1e-20
"OTU_11034",0.653665443451052,5.8e-16
"OTU_11276",0.71976222712471,2e-20
"OTU_12094",0.710570821160653,9.9e-20
"OTU_16473",-0.457200719012593,1.5e-07
"OTU_17111",-0.395574214223233,7.8e-06
"OTU_17156",-0.619224618166553,4.7e-14
"OTU_18671",0.645901380029767,1.6e-15
"OTU_19222",-0.707902585480543,1.6e-19
"OTU_19805",-0.563038887125262,2.2e-11
"OTU_20278",0.70564691854848,2.3e-19
"OTU_21262",0.798333869335128,9.4e-28
"OTU_21434",0.572157677851709,8.7e-12
