ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_1	13	2347.77792807495	15872	0.00199884197985134	0.307692307692308	11	2.32992949004287	0	0	0	Firmicutes	89194	1
OTU_2	3	7	7	2.138286314636e-40	0.333333333333333	7	1.22474487139159	0	0	-1	Verrucomicrobia	102995	1
OTU_3	2	2	2	1.64823764404433e-48	0	12	1	0	0	-1	Acidobacteria	56851	1
OTU_4	13	3695.80941648961	24433	0.013246831486499	0.0769230769230769	1	3.67055030095625	0.378698224852071	2	0	Proteobacteria	63733	1
OTU_5	7	4237.69349635579	28020	0.0252411722984881	0.285714285714286	11	-0.429197537639476	0.489795918367347	0	0	Firmicutes	63590	1
OTU_6	1	0	0	5.54735218941967e-58	0	16	0	0	0	-1	Cyanobacteria/Chloroplast	24902	1
OTU_7	3	799	9873	3.01974307589388e-06	0	9	1.45999279017686	0	0	-1	Acidobacteria	20633	1
OTU_12	2	2	2	1.64823764404433e-48	0	12	1	0	0	-1	Crenarchaeota	12508	1
OTU_13	3	21294	188856	5.4261256972626e-06	0.333333333333333	5	0.226778683805536	0	0	0	Actinobacteria	15132	1
OTU_14	36	6537.32905561463	35960	0.218079308322963	0.223809523809524	3	2.84432574325398	0.104938271604938	2	-1	Acidobacteria	17462	1
OTU_15	25	3504.3237754277	21308	0.128883826066739	0.243333333333333	1	3.20508196569006	0.6688	3	0	Proteobacteria	19867	1
OTU_19	1	0	0	5.54735218941967e-58	0	16	0	0	0	-1	Unclassified	10160	1
OTU_20	2	1	1	4.65345629549833e-51	0	15	0	0	0	-1	Verrucomicrobia	12215	1
OTU_21	12	717.770749738044	13573	0.0280792805808203	0.242424242424242	3	0.308264811882717	0	0	-1	Acidobacteria	16864	1
OTU_23	1	0	0	2.86057877848e-07	0	5	-0.982707629823991	0	0	-1	Actinobacteria	8299	1
OTU_26	1	0	0	1.71398353748869e-08	0	5	-0.982707629823991	0	0	0	Proteobacteria	7282	1
OTU_27	12	68.3398945285754	1114	0.12222528088419	0.606060606060606	3	0.308264811882717	0	0	-1	Actinobacteria	9599	1
OTU_30	6	1405.39012904621	20586	0.00529686964560997	0.333333333333333	0	-0.323265905237286	0.5	0	0	Proteobacteria	12588	1
OTU_31	21	3574.8218714994	35807	0.0117031426884287	0.0904761904761905	0	4.38236127186895	0	2	-1	Acidobacteria	12524	1
OTU_32	1	0	0	1.69182912138099e-07	0	9	-0.811107105653812	0	0	-1	Proteobacteria	16152	1
OTU_33	6	3686.72186297074	13254	0.00767908124245739	0	1	1.34320862462529	0.277777777777778	0	0	Gemmatimonadetes	7005	1
OTU_35	3	21079	187549	3.05928646056482e-07	0	5	-0.377964473009227	0.444444444444444	0	0	Proteobacteria	6739	0
OTU_38	24	12086.8409648711	116289	0.0706731668701345	0.11231884057971	0	3.07524261156166	0.503472222222222	2	0	Nitrospira	3381	1
OTU_40	8	3777.16095155126	27902	0.000524230819282125	0.107142857142857	1	1.80867695989149	0.375	0	0	Actinobacteria	12327	1
OTU_41	2	0	0	3.42779345839e-07	1	5	-0.377964473009227	0	0	-1	Actinobacteria	9245	1
OTU_42	9	772.410195404366	8149	0.00625852203144032	0.277777777777778	0	1.24527648713146	0	0	-1	Acidobacteria	8174	1
OTU_43	6	3550.10762946595	44425	0.0009499695808316	0.133333333333333	0	0.199581558885629	0.277777777777778	0	-1	Unclassified	5007	1
OTU_44	2	400	1341	2.42558916829749e-05	0	1	-0.053196381173279	0	0	-1	Unclassified	8364	1
OTU_45	3	182.497619047619	1582	2.96540339041792e-13	0.333333333333333	4	-0.301445758485422	0	0	0	Proteobacteria	16766	1
OTU_47	4	799	4081	0.0182864767948863	0.166666666666667	14	0	0	0	-1	Actinobacteria	7200	1
OTU_49	14	796.706149504429	10623	0.0883216987363517	0.384615384615385	3	0.538815805643741	0	0	-1	Proteobacteria	9580	1
OTU_50	8	1212.83914554618	7581	0.000548797780348642	0.321428571428571	11	0.797081141330456	0	0	-1	Firmicutes	5624	1
OTU_53	43	7204.61573131157	62891	0.279202579292335	0.223698781838317	3	3.074876737015	0.290968090859924	2	-1	Unclassified	7040	1
OTU_55	8	1609.63531746032	20685	6.4193517259588e-12	0.357142857142857	4	0.966540368477066	0	0	0	Proteobacteria	7162	0
OTU_58	26	663.358740167252	8427	0.180067452792324	0.304615384615385	3	1.80684627132937	0.0739644970414202	0	-1	Unclassified	9847	1
OTU_59	5	3345.99999999998	36212	9.79527935148514e-10	0.1	4	0.205748692299573	0	0	0	Actinobacteria	7045	0
OTU_60	32	11069.3810993229	89009	0.191807523328323	0.19758064516129	3	1.34574428380732	0.517578125	0	-1	Actinobacteria	6371	0
OTU_61	32	2890.70069509838	28424	0.222186921481153	0.286290322580645	3	2.26794825885142	0.17578125	0	-1	Actinobacteria	6894	0
OTU_62	1	0	0	5.54735218941967e-58	0	19	0	0	0	0	Proteobacteria	8058	1
OTU_66	5	75.3522904641137	774	0.00115593796990141	0.4	0	0.199581558885629	0	0	-1	Crenarchaeota	4756	1
OTU_67	2	9.98312877054296	29	0.00307108475294918	0	0	-0.584689637298744	0	0	-1	Proteobacteria	2909	0
OTU_68	18	486.64430663944	8383	0.147570566539558	0.418300653594771	3	0.999917793165789	0	0	-1	Unclassified	4265	1
OTU_70	14	904.133417992732	15416	0.0757723060162959	0.351648351648352	3	0.423540308763229	0.13265306122449	0	-1	Actinobacteria	3131	0
OTU_72	1	0	0	5.54735218941967e-58	0	18	0	0	0	1	Crenarchaeota	4122	1
OTU_75	15	440.074505365479	4718	0.10215908751545	0.380952380952381	3	0.538815805643741	0.124444444444444	0	-1	Actinobacteria	6815	0
OTU_81	34	3699.30446865934	35294	0.222010336771465	0.235294117647059	3	2.84432574325398	0	2	0	Actinobacteria	9076	1
OTU_84	1	0	0	0.000210358219292317	0	0	-0.846113369360202	0	0	-1	Proteobacteria	3048	0
OTU_88	2	400	1668	5.10584246447791e-06	0	5	-0.377964473009227	0	0	0	Actinobacteria	8559	1
OTU_89	1	0	0	5.4878638550282e-11	0	4	-0.808640209270417	0	0	0	Actinobacteria	7742	1
OTU_93	4	403.693984545653	2584	0.00375468047619113	0.333333333333333	0	-0.0618421731758286	0	0	0	Proteobacteria	5956	0
OTU_96	1	0	0	1.69182912138099e-07	0	9	-0.811107105653812	0	0	-1	Acidobacteria	2246	0
OTU_98	6	2372.5	28733	3.92459778926624e-15	0.333333333333333	8	1.60356745147455	0	0	0	Proteobacteria	5570	0
OTU_102	20	3090.34797231829	18338	0.0443038616242862	0.131578947368421	3	0.999917793165789	0.18	0	-1	Acidobacteria	2358	0
OTU_103	5	608.499547073004	4280	0.00676614078343736	0.1	0	0.199581558885629	0	0	-1	Proteobacteria	2075	0
OTU_106	5	993	4994	5.46805307456641e-06	0.3	5	1.43626499743506	0	0	0	Actinobacteria	4777	0
OTU_108	3	0	0	0.00429599449208574	1	3	-0.72921466004189	0	0	-1	Acidobacteria	2059	0
OTU_110	7	1783.64020562769	25405	6.11382397767279e-11	0.333333333333333	4	0.712943143084569	0	0	0	Actinobacteria	5653	0
OTU_111	10	2922.41544577338	37103	0.0097243216623856	0.222222222222222	0	1.50670021919292	0	0	-1	Proteobacteria	3640	0
OTU_112	13	1281.34904401156	16123	1.02435963676749e-11	0.256410256410256	4	2.23452649543955	0	0	0	Actinobacteria	4521	0
OTU_115	15	3485.29576564322	39730	0.00664609012382478	0.0857142857142857	0	2.81381887950021	0	2	-1	Proteobacteria	1975	0
