ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_1	12	49.0003968253968	120	2.0641992013955e-10	0.363636363636364	4	2.15558616718004	0	0	0	Firmicutes	91671	1
OTU_2	2	0	0	5.39965696565969e-77	1	12	0	0	0	-1	Verrucomicrobia	114143	1
OTU_4	3	0.5	1	1.60645109522126e-67	0.666666666666667	9	1	0	0	0	Proteobacteria	47420	1
OTU_5	7	22.6920634920635	57	1.29923478750963e-10	0.428571428571429	4	0.61588176205144	0	0	0	Firmicutes	43797	1
OTU_6	2	0	0	1.21052708701598e-81	1	11	0	0	0	-1	Cyanobacteria/Chloroplast	34456	1
OTU_7	1	0	0	7.04469073546064e-64	0	10	-1.20604537831106	0	0	-1	Acidobacteria	25024	1
OTU_12	1	0	0	4.446774225952e-121	0	27	0	0	0	-1	Crenarchaeota	14120	1
OTU_13	6	818.864547685717	3072	0.0072659559936898	0.2	2	1.12576868619846	0	0	0	Actinobacteria	15399	1
OTU_14	10	1976.8773471548	8824	0.00107797950556423	0.111111111111111	1	2.58238049099349	0	2	-1	Acidobacteria	8022	1
OTU_15	2	0	0	1.25427911319129e-67	1	9	-1	0	0	0	Proteobacteria	9824	1
OTU_19	2	0	0	1.21052708701598e-81	1	11	0	0	0	-1	Unclassified	11076	1
OTU_21	14	4383.3467425693	20340	0.0041866215347558	0.10989010989011	1	3.70303617576425	0.13265306122449	2	-1	Acidobacteria	16751	1
OTU_23	2	155	413	1.91062988686701e-05	0	2	-0.407192929050508	0	0	-1	Actinobacteria	7663	1
OTU_25	1	0	0	0.00492125975398805	0	0	-0.805344649586667	0	0	0	Proteobacteria	4599	0
OTU_26	1	0	0	0.00196578347621357	0	2	-0.790433332862751	0	0	0	Proteobacteria	8030	1
OTU_31	4	7	7	4.62389818321565e-70	0.166666666666667	8	1.73205080756888	0	0	-1	Acidobacteria	16711	1
OTU_32	2	4.58333333333333	11	0.000223966799661554	0	1	-0.406034668395203	0	0	-1	Proteobacteria	18121	1
OTU_35	14	4520.73388620131	17947	0.0160814827140992	0.0769230769230769	2	3.42521110907192	0.244897959183674	2	0	Proteobacteria	7581	1
OTU_36	1	0	0	0.00513276864700317	0	0	-0.805344649586667	0	0	0	Proteobacteria	7357	1
OTU_38	2	155	423	3.72304350002072e-07	0	3	0.131876094679157	0	0	0	Nitrospira	6794	1
OTU_39	1	0	0	1.64057012199409e-101	0	16	0	0	0	-1	Acidobacteria	11289	1
OTU_40	2	0	0	0.000607860207098953	1	2	-0.407192929050508	0	0	0	Actinobacteria	8705	1
OTU_41	3	308	824	0.000153967344255218	0.333333333333333	2	-0.0239525252382652	0	0	-1	Actinobacteria	9134	1
OTU_42	3	1	2	2.2008785040518e-63	0.666666666666667	10	0.603022689155527	0	0	-1	Acidobacteria	11113	1
OTU_43	3	4	4	4.0013740808424e-70	0.333333333333333	8	0.866025403784439	0	0	-1	Unclassified	5861	1
OTU_45	1	0	0	4.446774225952e-121	0	19	0	0	0	0	Proteobacteria	6194	0
OTU_47	3	1.33333333333333	4	5.20243461105851e-06	0.666666666666667	6	0	0	0	-1	Actinobacteria	6115	1
OTU_49	2	155	422	1.89204523993155e-05	0	1	-0.406034668395203	0	0	-1	Proteobacteria	6800	1
OTU_50	8	62.5055555555556	129	1.069535679007e-10	0.178571428571429	4	0.92382264307716	0	0	-1	Firmicutes	4627	1
OTU_53	4	4.70238095238095	17	1.0019404308296e-05	0.666666666666667	6	1	0	0	-1	Unclassified	2810	1
OTU_55	3	138.15	666	0.0709939942693365	0.333333333333333	0	-0.349489187556478	0	0	0	Proteobacteria	3199	0
OTU_58	4	276.10735930736	1636	4.42231483826302e-05	0.333333333333333	6	0	0.375	0	-1	Unclassified	4984	1
OTU_59	6	16.1401037415743	224	0.158449874796913	0.6	0	0.334294005488805	0	0	0	Actinobacteria	3815	0
OTU_61	5	354.395021645021	1267	2.52736542565166e-05	0.2	6	1	0.32	0	-1	Actinobacteria	4801	0
OTU_70	1	0	0	0.000131771077170463	0	1	-0.77958656331879	0	0	-1	Actinobacteria	2453	0
OTU_72	1	0	0	6.44851243223054e-05	0	1	-0.77958656331879	0	0	1	Crenarchaeota	2512	1
OTU_73	2	155	309	0.00599877980355063	0	2	-0.407192929050508	0	0	-1	Proteobacteria	6342	0
OTU_75	3	3.36904761904762	13	7.26649251561334e-06	0.666666666666667	6	0	0	0	-1	Actinobacteria	5421	0
OTU_80	1	0	0	1.64057012199409e-101	0	17	0	0	0	-1	Actinobacteria	5833	0
OTU_81	3	509.113319358971	2023	0.000144221743353072	0	1	-0.406034668395203	0.444444444444444	0	0	Actinobacteria	6461	1
OTU_87	2	1	1	3.28114024398818e-101	0	17	0	0	0	1	Actinobacteria	6189	1
OTU_88	2	155	487	0.000251048836146944	0	2	-0.407192929050508	0	0	0	Actinobacteria	7941	1
OTU_89	12	3413.58733913234	18897	0.186416309307626	0.121212121212121	0	1.47393266056428	0.152777777777778	0	0	Actinobacteria	7671	1
OTU_96	1	0	0	0.000149938148272253	0	1	-0.77958656331879	0	0	-1	Acidobacteria	2262	0
OTU_97	2	1	1	3.28114024398818e-101	0	16	0	0	0	-1	Unclassified	2277	1
OTU_98	11	352.590029394155	2246	0.111157135670491	0.127272727272727	0	1.47393266056428	0	0	0	Proteobacteria	7914	1
OTU_102	10	584.49438970689	6028	0.000482268423325805	0.0222222222222222	1	2.58238049099349	0	2	-1	Acidobacteria	1928	0
OTU_106	5	53.8889355742297	233	0.000546918438764506	0.4	2	0.742528282386221	0	0	0	Actinobacteria	4217	0
OTU_108	3	216.297894816566	2596	0.000595524761569239	0	1	-0.0324827734716162	0	0	-1	Acidobacteria	2008	0
OTU_110	13	530.300737497796	3602	0.277631055625538	0.282051282051282	0	1.70186039157937	0.142011834319526	0	0	Actinobacteria	4792	0
OTU_111	1	0	0	2.90985954071226e-06	0	3	-0.725318520735366	0	0	-1	Proteobacteria	5542	0
OTU_112	13	798.726695795173	5095	0.296466530925425	0.256410256410256	0	1.92978812259447	0	0	0	Actinobacteria	3608	0
OTU_115	4	1334	3749	0.000183009179803321	0	3	0.989070710093681	0.375	0	-1	Proteobacteria	2747	0
OTU_117	18	775.183777870468	3927	0.253460015958256	0.117647058823529	0	3.06942677766994	0	2	0	Proteobacteria	4707	0
OTU_120	2	0	0	0.00227403775358275	1	2	-0.407192929050508	0	0	1	Crenarchaeota	2665	1
OTU_121	15	2661.35123350192	11646	0.32178189049399	0.257142857142857	0	2.15771585360956	0.124444444444444	0	0	Proteobacteria	1972	0
OTU_123	1	0	0	1.6360271811807e-70	0	8	-0.866025403784439	0	0	-1	Unclassified	2410	1
OTU_126	5	197.361044402892	1844	0.000202918801569036	0	1	0.714621016375557	0	0	-1	Acidobacteria	2808	0
OTU_128	6	2703.89099697918	10706	0.0483409268049838	0.133333333333333	2	0.742528282386221	0.277777777777778	0	0	Proteobacteria	4167	0
OTU_131	10	558.105983863918	2197	0.00202306699196937	0.222222222222222	2	2.65873030144743	0	2	0	Actinobacteria	9113	1
OTU_135	6	10.477380952381	35	1.23564645404408e-10	0.533333333333333	4	0.30794088102572	0	0	-1	Firmicutes	2434	0
OTU_136	7	9.52413142413142	40	0.141584763139822	0.380952380952381	0	0.5622217365039	0	0	0	Actinobacteria	1499	0
OTU_137	1	0	0	1.64057012199409e-101	0	15	0	0	0	-1	Acidobacteria	2726	0
OTU_138	1	0	0	0.00322229338526447	0	0	-0.805344649586667	0	0	0	Proteobacteria	1902	0
OTU_139	2	0	0	0.000583038168742933	1	1	-0.406034668395203	0	0	-1	Acidobacteria	1609	0
OTU_140	4	1472.16666666667	4251	0.00122659884407448	0.166666666666667	1	-0.0324827734716162	0.375	0	0	Bacteroidetes	5430	1
OTU_141	22	1785.11893545047	7718	0.400076914520617	0.147186147186147	0	3.98113770173032	0	2	0	Proteobacteria	6967	1
OTU_143	6	318.118518518519	1375	0.0812015300812323	0.133333333333333	0	0.334294005488805	0	0	0	Actinobacteria	2120	0
OTU_148	1	0	0	2.90985954071226e-06	0	3	-0.725318520735366	0	0	-1	Unclassified	1861	1
OTU_150	1	0	0	4.446774225952e-121	0	27	0	0	0	-1	Acidobacteria	2115	0
OTU_151	1	0	0	4.446774225952e-121	0	26	0	0	0	-1	Unclassified	2169	1
OTU_161	1	0	0	3.82447853511297e-06	0	1	-0.77958656331879	0	0	0	Actinobacteria	3669	0
OTU_167	7	3651.66106248096	21005	0.0378163423115923	0.142857142857143	2	0.742528282386221	0.448979591836735	0	0	Actinobacteria	2870	0
OTU_170	2	155	508	2.78426174169983e-05	0	3	0.131876094679157	0	0	-1	Acidobacteria	2546	0
OTU_176	5	1058	2934	2.38046847329063e-05	0	3	2.70345994092273	0	2	-1	Verrucomicrobia	2605	1
OTU_180	9	3233.77195218115	15251	0.00807684817826868	0.138888888888889	1	1.46172480622273	0.345679012345679	0	-1	Verrucomicrobia	5567	1
OTU_185	7	87.2084478702126	870	0.167918843927239	0.523809523809524	0	0.5622217365039	0	0	0	Actinobacteria	4727	0
OTU_187	9	1065.18756401644	4276	0.00119365174582695	0.222222222222222	1	2.2088285960699	0	0	-1	Acidobacteria	3822	0
OTU_188	2	0	0	3.89682315657447e-11	1	4	-0.92382264307716	0	0	0	Firmicutes	1380	0
OTU_189	8	226.646023584259	823	0.198618228677752	0.357142857142857	0	0.790149467518994	0	0	0	Actinobacteria	2577	0
OTU_190	2	3.86666666666667	14	3.6129112169798e-05	0	1	-0.406034668395203	0	0	-1	Actinobacteria	1039	0
OTU_202	8	1144.84554600886	3193	0.00294965433331078	0.178571428571429	2	1.50900909001071	0.21875	0	-1	Actinobacteria	3214	0
OTU_204	1	0	0	2.12390677077924e-11	0	4	-1.23176352410288	0	0	-1	Firmicutes	3356	1
OTU_205	3	155	423	0.0263606119401814	0.333333333333333	0	-0.349489187556478	0	0	0	Bacteroidetes	2720	1
OTU_207	2	6.14581390831391	52	8.3756563294379e-05	0	1	-0.406034668395203	0	0	-1	Proteobacteria	1332	0
OTU_208	2	0	0	0.0449828836726037	1	0	-0.577416918571572	0	0	0	Bacteroidetes	1232	1
OTU_210	1	0	0	4.446774225952e-121	0	22	0	0	0	-1	Actinobacteria	2634	0
OTU_211	1	0	0	2.90985954071226e-06	0	3	-0.725318520735366	0	0	-1	Proteobacteria	3042	0
OTU_214	4	39.9658112312524	269	0.000928890046643874	0.333333333333333	2	0.359287878573978	0	0	0	Actinobacteria	1716	0
OTU_215	4	125.592433694332	1581	0.000816430515834838	0.666666666666667	1	0.34106912145197	0	0	-1	Acidobacteria	913	0
OTU_216	2	0	0	3.52658351455911e-70	1	7	0	0	0	-1	Proteobacteria	1249	0
OTU_221	1	0	0	6.44851243223054e-05	0	1	-0.77958656331879	0	0	0	Gemmatimonadetes	1837	1
OTU_223	3	64.0640593601801	321	0.000638553204957814	0.333333333333333	1	-0.0324827734716162	0	0	-1	Acidobacteria	1128	0
OTU_225	3	0.333333333333333	1	4.81691677263183e-11	0.666666666666667	4	-0.61588176205144	0	0	0	Firmicutes	2902	0
OTU_232	3	308	842	0.000152469707924789	0.333333333333333	1	-0.0324827734716162	0	0	-1	Proteobacteria	1407	0
OTU_234	1	0	0	1.64057012199409e-101	0	14	0	0	0	-1	Acidobacteria	1393	0
OTU_238	7	469.692374292374	4958	0.0419896348051733	0.0952380952380952	0	0.5622217365039	0	0	-1	Actinobacteria	3554	0
OTU_240	8	520.153401874179	4352	0.150619729576829	0.285714285714286	0	0.790149467518994	0	0	0	Proteobacteria	1890	0
OTU_244	5	4.25952380952381	22	0.130560423298781	0.6	0	0.106366274473711	0	0	0	Proteobacteria	1284	0
OTU_245	4	125.592433694332	1581	0.000816430515834838	0.666666666666667	1	0.34106912145197	0	0	-1	Acidobacteria	983	0
OTU_264	1	0	0	3.40345217079303e-06	0	3	-0.725318520735366	0	0	-1	Acidobacteria	1169	0
OTU_269	1	0	0	0.000131771077170463	0	1	-0.77958656331879	0	0	0	Proteobacteria	643	0
OTU_276	1	0	0	0.02278733292499	0	0	-0.805344649586667	0	0	0	Actinobacteria	1225	0
OTU_279	1	0	0	1.64057012199409e-101	0	16	0	0	0	-1	Unclassified	7089	1
OTU_285	3	410.833333333333	1264	0.000224368617400765	0	3	0.131876094679157	0.444444444444444	0	-1	Acidobacteria	1152	0
OTU_287	2	5.45	17	4.34370983162249e-05	0	1	-0.406034668395203	0	0	-1	Unclassified	1685	0
OTU_292	1	0	0	0.000122517876091349	0	1	-0.77958656331879	0	0	-1	Acidobacteria	1012	0
OTU_299	2	187.284771151581	1584	0.0385599570327998	0	2	-0.790433332862751	0.5	0	0	Actinobacteria	1114	0
OTU_301	1	0	0	2.31281613457514e-06	0	1	-0.77958656331879	0	0	-1	Acidobacteria	869	0
OTU_302	1	0	0	6.35069481455249e-05	0	1	-0.77958656331879	0	0	-1	Acidobacteria	1153	0
OTU_321	2	64.3200261855448	322	0.00207933001525943	0	2	-0.407192929050508	0	0	-1	Actinobacteria	849	0
