ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_2953	2	194	396	0.000290915219762977	0	1	-0.395413443791362	0	0	0	Actinobacteria	2042	0
OTU_4247	1	0	0	6.58064161275279e-05	0	0	-0.72732515647348	0	0	-1	Actinobacteria	3718	0
OTU_4781	1	0	0	0.00244293712133345	0	2	-0.822777183390575	0	0	0	Proteobacteria	658	0
OTU_4888	3	0	0	0.0622488060465156	1	2	-0.454541241173814	0	0	0	Proteobacteria	1010	0
OTU_5678	2	0	0	0.0355669736900732	1	2	-0.638659212282194	0	0	0	Proteobacteria	2676	0
OTU_5730	6	0	0	0.147266572814491	1	2	0.0978126721513271	0	0	-1	Actinobacteria	1168	0
OTU_5766	2	0	0	1.39955166843014e-58	1	10	-1	0	0	-1	Verrucomicrobia	2215	1
OTU_5881	1	0	0	2.52208165467899e-97	0	26	0	0	0	-1	Unclassified	234	0
OTU_5886	7	3.51666666666667	11	8.48198960451328e-11	0.666666666666667	4	0.32076025175762	0	0	-1	Firmicutes	2310	0
OTU_7456	2	1	1	7.09902875013141e-83	0	14	0	0	0	-1	Acidobacteria	1893	0
OTU_7589	1	0	0	2.52208165467899e-97	0	23	0	0	0	-1	Chloroflexi	173	1
OTU_7983	1	0	0	2.52208165467899e-97	0	31	0	0	0	0	Proteobacteria	1772	0
OTU_8100	2	0	0	2.99468596615641e-11	1	4	-0.939369308718743	0	0	0	Firmicutes	10397	1
OTU_8148	3	0.5	1	1.79251275646926e-58	0.666666666666667	11	1	0	0	-1	Proteobacteria	3847	0
OTU_8325	1	0	0	2.52208165467899e-97	0	20	0	0	0	-1	Cyanobacteria/Chloroplast	965	1
OTU_8377	3	194	406	0.000387854349234452	0.333333333333333	1	-0.0988533609478406	0	0	-1	Acidobacteria	2119	0
OTU_8428	4	0.5	2	0.0757003920765777	0.833333333333333	2	-0.270423270065434	0	0	0	Bacteroidetes	1219	1
OTU_8598	1	0	0	7.44964495632745e-08	0	7	-1.33630620956212	0	0	-1	Acidobacteria	8885	1
OTU_8849	1	0	0	1.79901696656681e-06	0	0	-0.72732515647348	0	0	-1	Actinobacteria	2844	0
OTU_8875	1	0	0	1.06014501244826e-11	0	4	-1.19139522081402	0	0	0	Firmicutes	651	0
OTU_9957	1	0	0	6.7059160914392e-75	0	12	-0.577350269189626	0	0	-1	Proteobacteria	1116	0
OTU_11423	2	1	1	7.09902875013141e-83	0	17	0	0	0	-1	Verrucomicrobia	1281	1
OTU_11791	8	8.66666666666667	34	1.02754402574077e-10	0.678571428571429	4	0.572786163852892	0	0	-1	Firmicutes	1910	0
OTU_12094	2	54.3670995670996	154	0.000860699400570422	0	1	-0.395413443791362	0	0	-1	Acidobacteria	5018	0
