Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_1	12	0.363636	2	6.33333	0.0481928	0.0590361	0.00158701	16.5	0.00157134	176.337	188	3	2.15559	0	1	2.15559	0
OTU_102	10	0.0222222	9	3.5	0.0401606	0.122783	0.0189304	42.0325	0.0177597	24.0138	226	1	2.58238	0	5	2.372	0.54
OTU_1020	1	0	3	4	0.00401606	0.0100402	0	2.83333	0	1.71671	43	6	-0.866025	0	6	-0.866025	0
OTU_1022	2	1	8	10	0.00803213	0.157637	0	44.494	0	5.48718	139	2	-0.407193	0	4	-0.163299	0
OTU_1046	4	0.666667	4	6.75	0.0160643	0.0385018	0.000133599	11.25	0.000136568	21.2143	160	3	-0.307941	0	1	-0.307941	0
OTU_106	5	0.4	9	4.8	0.0200803	0.113645	0.00174533	34.8171	0.00198813	13.4521	190	2	0.742528	0	3	0.636446	0
OTU_1068	1	0	9	12	0.00401606	0.134251	0	38.8147	0	3.99943	103	0	-0.835586	0	0	-0.805345	0
OTU_108	3	0	8	9.66667	0.0120482	0.139621	0.00700537	42.2833	0.00660179	7.92977	212	1	-0.0324828	0	5	-0.2965	0.444444
OTU_110	13	0.282051	9	7.92308	0.0522088	0.148986	0.0171752	52.1147	0.0159652	299.358	242	0	1.63724	0.142012	0	1.70186	0.142012
OTU_1103	1	0	1	1	0.00401606	0.00401606	0	1	0	1.54308	6	29	0	0	42	0	0
OTU_111	1	0	10	5	0.00401606	0.0901614	0	25.6766	0	1.75527	61	4	-0.725319	0	13	-0.57735	0
OTU_112	13	0.25641	9	8.46154	0.0522088	0.150826	0.0258689	53.1147	0.0258103	325.662	245	0	1.86204	0	0	1.92979	0
OTU_11423	2	0	1	1	0.00803213	0.00803213	3.23876e-05	2	3.23876e-05	2.17818	108	13	1.41421	0	16	1.41421	0
OTU_115	4	0	8	3.25	0.0160643	0.124029	0.0432051	36.925	0.0432051	4.55197	204	4	0.989071	0.375	2	-0.0520579	0.375
OTU_117	18	0.117647	10	4.61111	0.0722892	0.129967	0.0251064	50.1893	0.0253426	277.98	239	0	2.98605	0	0	3.06943	0
OTU_11791	6	0.466667	3	7.5	0.0240964	0.0454124	0.000267198	13	0.000269627	62.1445	167	3	0.307941	0	1	0.307941	0
OTU_1195	3	0	10	2.66667	0.0120482	0.0906632	0.0149307	27.2599	0.0149307	3.20273	166	4	0.989071	0	12	1	0.444444
OTU_12	1	0	1	1	0.00401606	0.00401606	0	1	0	1.54308	8	24	0	0	26	0	0
OTU_120	2	1	8	8.5	0.00803213	0.146091	0	41.456	0	4.88577	129	2	-0.407193	0	4	-0.163299	0
OTU_12094	2	0	7	5	0.00803213	0.139821	0.00502008	39.4	0.00502008	3.07408	177	1	-0.406035	0	27	0	0.5
OTU_121	15	0.257143	9	8	0.060241	0.165652	0.0861948	56.4421	0.0870474	392.335	250	0	2.08685	0.124444	0	2.15772	0.124444
OTU_123	1	0	3	3	0.00401606	0.00912742	0	2.66667	0	1.66543	37	8	-0.866025	0	9	-0.866025	0
OTU_12417	1	0	1	1	0.00401606	0.00401606	0	1	0	1.54308	20	20	0	0	45	0	0
OTU_1251	1	0	4	8	0.00401606	0.0316265	0	8.66667	0	2.64556	49	3	-1.23176	0	1	-1.23176	0
OTU_12580	1	0	2	2	0.00401606	0.00535475	0	1.5	0	1.58909	24	17	-0.707107	0	20	-0.707107	0
OTU_126	5	0	9	2.6	0.0200803	0.120363	0.00639205	36.75	0.00706599	6.94612	199	1	0.714621	0	5	1.03775	0.32
OTU_12734	3	0.333333	1	1.66667	0.0120482	0.0120482	6.47752e-05	3	6.47752e-05	3.49215	128	12	1.41421	0	14	1.41421	0
OTU_128	6	0.133333	8	6.83333	0.0240964	0.176417	0.0875726	52.3607	0.0895929	20.3749	238	2	0.742528	0.277778	4	0.285774	0.666667
OTU_13	6	0.2	8	6.16667	0.0240964	0.160221	0.0265211	47.944	0.0264168	15.9405	235	2	1.12577	0	3	0.159111	0.5
OTU_131	10	0.222222	8	3.9	0.0401606	0.136692	0.0180757	43.2488	0.0183733	34.0237	231	2	2.65873	0	3	2.54578	0.18
OTU_1325	1	0	3	3	0.00401606	0.00803213	0	2.33333	0	1.63976	36	10	-0.75	0	15	-0.707107	0
OTU_1326	2	1	9	7.5	0.00803213	0.134621	0	39.4813	0	5.92107	122	0	-0.610784	0	0	-0.577417	0
OTU_1338	1	0	3	3	0.00401606	0.00803213	0	2.33333	0	1.63976	35	10	-0.75	0	15	-0.707107	0
OTU_135	6	0.533333	3	8	0.0240964	0.0454124	0.000339337	13	0.000338181	64.8946	168	3	0.307941	0	1	0.307941	0
OTU_136	7	0.380952	10	6.71429	0.0281124	0.123247	0.000308464	40.956	0.000333592	90.353	214	0	0.513228	0	0	0.562222	0
OTU_1360	2	1	3	3.5	0.00803213	0.0111557	0	3.33333	0	3.11267	82	7	-0.301511	0	7	-0.301511	0
OTU_137	1	0	2	2	0.00401606	0.00535475	0	1.5	0	1.58909	23	17	-0.707107	0	20	-0.707107	0
OTU_1370	3	0.666667	8	7.66667	0.0120482	0.127925	0.000552884	37.631	0.00058252	9.35516	185	2	-0.0239525	0	3	-0.318223	0
OTU_13791	3	0.666667	10	17.6667	0.0120482	0.126928	0.000210503	42.356	0.000226151	52.0706	197	0	-0.385982	0	0	-0.349489	0
