Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_73	3	0	9	6	0.0106007	0.169438	0.00558542	54.7885	0.00562458	7.45344	233	2	-0.136631	0	33	0	0.666667
OTU_740	2	1	8	15.5	0.00706714	0.177966	0	57.1405	0	13.3683	165	2	-0.440254	0	5	-0.494889	0.5
OTU_7456	2	0	1	1	0.00706714	0.00706714	2.50608e-05	2	2.50608e-05	2.17818	135	17	1.41421	0	19	1.41421	0
OTU_75	3	0.666667	11	4	0.0106007	0.105218	0.000199054	35.0008	0.000207448	5.43433	168	5	0.280056	0	6	0.280056	0
OTU_750	4	0.833333	11	16.5	0.0141343	0.137527	1.80994e-05	50.6861	2.03619e-05	204.142	215	0	-0.270423	0	0	-0.0982567	0
OTU_7589	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	21	31	0	0	28	0	0
OTU_759	1	0	12	9	0.00353357	0.115136	0	39.3342	0	5.69397	93	0	-0.822777	0	0	-0.717274	0
OTU_785	1	0	11	22	0.00353357	0.120831	0	42.8207	0	17.27	110	0	-0.822777	0	0	-0.717274	0
OTU_7983	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	8	26	0	0	43	0	0
OTU_80	1	0	2	2	0.00353357	0.00471143	0	1.5	0	1.58909	33	18	-0.707107	0	22	-0.707107	0
OTU_804	3	0	2	1.33333	0.0106007	0.0113074	0.000125304	3.5	0.000125304	2.96688	154	9	1.75	0	24	1.41421	0.444444
OTU_81	4	0	9	4.75	0.0141343	0.146207	0.0240274	49.4659	0.024361	7.03237	234	5	0.280056	0.375	6	0.280056	0.375
OTU_8100	2	1	3	11.5	0.00706714	0.0338762	0	10.5	0	24.0545	105	3	-0.939369	0	2	-0.939369	0
OTU_8148	3	0.666667	1	2.33333	0.0106007	0.0106007	1.25304e-05	3	1.25304e-05	4.24822	152	11	1	0	15	1	0
OTU_8325	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	22	28	0	0	45	0	0
OTU_8377	3	0.333333	9	5	0.0106007	0.144322	0.00486179	47.6659	0.00486179	6.27938	207	1	-0.111056	0	1	-0.225015	0
OTU_842	1	0	9	5	0.00353357	0.11445	0	35.7611	0	1.78224	63	6	-0.866025	0	9	-0.866025	0
OTU_8428	4	0.833333	11	14.75	0.0141343	0.136272	1.25304e-05	49.8028	1.25304e-05	184.209	208	0	-0.270423	0	0	-0.0982567	0
OTU_8598	1	0	12	4	0.00353357	0.0811867	0	25.5507	0	1.78184	50	7	-1.33631	0	8	-1.33631	0
OTU_868	1	0	11	11	0.00353357	0.118801	0	40.3207	0	4.28958	88	0	-0.822777	0	0	-0.717274	0
OTU_87	2	0	1	1	0.00706714	0.00706714	2.50608e-05	2	2.50608e-05	2.17818	133	18	1.41421	0	22	1.41421	0
OTU_88	3	0.333333	9	6	0.0106007	0.128701	0.00486179	42.3167	0.00486179	8.2016	198	2	-0.136631	0	4	-0.365963	0
OTU_8849	1	0	11	2	0.00353357	0.0888063	0	27.5338	0	1.5935	48	2	-0.743877	0	34	0	0
OTU_886	1	0	11	22	0.00353357	0.120831	0	42.8207	0	17.27	109	0	-0.822777	0	0	-0.717274	0
OTU_8875	1	0	4	9	0.00353357	0.0283328	0	8.83333	0	4.41632	56	3	-1.1914	0	2	-1.1914	0
OTU_888	3	0.666667	8	8	0.0106007	0.163659	2.92376e-05	53.1571	3.1326e-05	10.0608	214	2	-0.136631	0	5	0.262	0
OTU_89	16	0.216667	8	8.4375	0.0565371	0.201748	0.120796	72.1667	0.119814	1245.51	284	0	1.57076	0.21875	3	1.25568	0.5
OTU_913	1	0	9	11	0.00353357	0.14294	0	46.0325	0	3.99253	103	1	-0.707252	0	1	-0.819056	0
OTU_944	5	1	3	10.2	0.0176678	0.0371025	0	12.1667	0	134.572	133	3	-0.183292	0	2	-0.183292	0
OTU_96	2	0	7	5	0.00706714	0.14996	0.000760177	47.8643	0.000747646	3.12078	180	1	-0.409154	0	1	-0.522035	0
OTU_97	2	0	2	1.5	0.00706714	0.00795053	5.01215e-05	2.5	5.01215e-05	2.22726	141	12	1	0	16	1	0
OTU_98	13	0.320513	10	8.76923	0.0459364	0.145731	0.00908856	58.0266	0.00947739	745.918	265	0	1.38664	0	0	1.75879	0
OTU_985	1	0	9	5	0.00353357	0.115831	0	36.4683	0	1.79535	70	4	-0.806226	0	13	-0.57735	0
OTU_9957	1	0	2	3	0.00353357	0.00636042	0	2	0	1.63819	41	10	-0.57735	0	12	-0.57735	0
