Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_1	16	0.391667	16	7.6875	0.0327869	0.168812	0.0150726	109.92	0.014763	63537.8	371	5	2.07111	0	4	2.01868	0
OTU_1014	1	0	16	9	0.00204918	0.167668	0	100.956	0	3204.84	117	1	-0.437455	0	3	-0.556747	0
OTU_1017	2	1	14	18.5	0.00409836	0.182672	0	107.97	0	7707.99	176	2	-0.544514	0	1	-0.619986	0
OTU_102	22	0.199134	15	11.4091	0.045082	0.189334	0.0235463	130.462	0.0237902	4.23576e+07	439	4	3.33286	0.46281	0	0.973555	0
OTU_1020	1	0	15	63	0.00204918	0.195314	0	124.102	0	548843	192	1	-0.437455	0	5	-0.235702	0
OTU_1021	2	0	16	3.5	0.00409836	0.152525	5.03769e-05	88.556	8.93624e-05	279.168	209	1	-0.247081	0	25	0	0.5
OTU_10251	2	0	15	49.5	0.00409836	0.198167	6.98969e-05	127.552	5.90468e-05	1.26274e+06	308	1	-0.247081	0	5	-0.235702	0.5
OTU_103	5	0.1	15	13	0.0102459	0.197608	0.00482896	126.015	0.00489103	1.03185e+06	382	2	-0.544514	0.48	1	-0.430698	0.48
OTU_10345	3	1	14	29.6667	0.00614754	0.212486	0	132.756	0	3.77574e+06	269	2	-0.753749	0.444444	1	-0.619986	0.444444
OTU_10370	5	0	15	22	0.0102459	0.199294	0.0099564	130.302	0.0099379	1.31307e+06	394	1	0.324041	0	13	0.5	0.64
OTU_1039	1	0	15	36	0.00204918	0.188401	0	116.088	0	146600	171	1	-0.437455	0	3	-0.556747	0
OTU_10401	1	0	14	18	0.00204918	0.176093	0	101.076	0	6355.68	123	2	-0.753749	0	7	-0.408248	0
OTU_1046	8	0.714286	15	11.625	0.0163934	0.181411	0.00194678	113.188	0.00238196	472037	346	5	0.0533791	0.21875	4	-0.0360479	0.21875
OTU_10488	22	0.593074	14	31.3182	0.045082	0.228414	0.00283456	158.793	0.00299157	4.88278e+08	451	0	0.718263	0.0867769	0	0.888626	0.0867769
