"","No","ID","No..module","modColors"
"1",1,"OTU_1",12,"tan"
"2",2,"OTU_2",8,"pink"
"3",4,"OTU_4",2,"blue"
"4",5,"OTU_5",12,"tan"
"5",7,"OTU_7",10,"purple"
"6",9,"OTU_13",6,"red"
"7",10,"OTU_14",4,"yellow"
"8",11,"OTU_15",2,"blue"
"9",14,"OTU_21",4,"yellow"
"10",15,"OTU_23",6,"red"
"11",16,"OTU_26",6,"red"
"12",17,"OTU_27",4,"yellow"
"13",18,"OTU_30",1,"turquoise"
"14",19,"OTU_31",1,"turquoise"
"15",20,"OTU_32",10,"purple"
"16",21,"OTU_33",2,"blue"
"17",22,"OTU_35",6,"red"
"18",23,"OTU_38",1,"turquoise"
"19",24,"OTU_40",2,"blue"
"20",25,"OTU_41",6,"red"
"21",26,"OTU_42",1,"turquoise"
"22",27,"OTU_43",1,"turquoise"
"23",28,"OTU_44",2,"blue"
"24",29,"OTU_45",5,"green"
"25",31,"OTU_49",4,"yellow"
"26",32,"OTU_50",12,"tan"
"27",33,"OTU_53",4,"yellow"
"28",34,"OTU_55",5,"green"
"29",35,"OTU_58",4,"yellow"
"30",36,"OTU_59",5,"green"
"31",37,"OTU_60",4,"yellow"
"32",38,"OTU_61",4,"yellow"
"33",40,"OTU_66",1,"turquoise"
"34",41,"OTU_67",1,"turquoise"
"35",42,"OTU_68",4,"yellow"
"36",43,"OTU_70",4,"yellow"
"37",45,"OTU_75",4,"yellow"
"38",46,"OTU_81",4,"yellow"
"39",47,"OTU_84",1,"turquoise"
"40",48,"OTU_88",6,"red"
"41",49,"OTU_89",5,"green"
"42",50,"OTU_93",1,"turquoise"
"43",51,"OTU_96",10,"purple"
"44",52,"OTU_98",9,"magenta"
"45",53,"OTU_102",4,"yellow"
"46",54,"OTU_103",1,"turquoise"
"47",55,"OTU_106",6,"red"
"48",56,"OTU_108",4,"yellow"
"49",57,"OTU_110",5,"green"
"50",58,"OTU_111",1,"turquoise"
"51",59,"OTU_112",5,"green"
"52",60,"OTU_115",1,"turquoise"
"53",61,"OTU_116",4,"yellow"
"54",62,"OTU_117",5,"green"
"55",63,"OTU_118",4,"yellow"
"56",64,"OTU_119",4,"yellow"
"57",65,"OTU_121",5,"green"
"58",66,"OTU_123",1,"turquoise"
"59",67,"OTU_124",2,"blue"
"60",68,"OTU_126",10,"purple"
"61",69,"OTU_128",5,"green"
"62",70,"OTU_129",1,"turquoise"
"63",71,"OTU_131",6,"red"
"64",72,"OTU_132",1,"turquoise"
"65",73,"OTU_134",1,"turquoise"
"66",74,"OTU_135",12,"tan"
"67",75,"OTU_136",5,"green"
"68",76,"OTU_137",1,"turquoise"
"69",77,"OTU_140",1,"turquoise"
"70",78,"OTU_141",5,"green"
"71",79,"OTU_143",5,"green"
"72",80,"OTU_144",4,"yellow"
"73",81,"OTU_146",9,"magenta"
"74",82,"OTU_148",1,"turquoise"
"75",83,"OTU_150",1,"turquoise"
"76",84,"OTU_151",1,"turquoise"
"77",85,"OTU_161",4,"yellow"
"78",86,"OTU_162",1,"turquoise"
"79",87,"OTU_165",2,"blue"
"80",88,"OTU_167",5,"green"
"81",89,"OTU_170",1,"turquoise"
"82",90,"OTU_171",4,"yellow"
"83",91,"OTU_176",1,"turquoise"
"84",92,"OTU_179",4,"yellow"
"85",93,"OTU_180",1,"turquoise"
"86",94,"OTU_181",6,"red"
"87",95,"OTU_185",5,"green"
"88",96,"OTU_187",4,"yellow"
"89",97,"OTU_188",12,"tan"
"90",99,"OTU_191",4,"yellow"
"91",100,"OTU_194",1,"turquoise"
"92",101,"OTU_196",4,"yellow"
"93",102,"OTU_197",1,"turquoise"
"94",103,"OTU_200",4,"yellow"
"95",104,"OTU_202",6,"red"
"96",105,"OTU_206",1,"turquoise"
"97",106,"OTU_207",10,"purple"
"98",107,"OTU_208",5,"green"
"99",108,"OTU_211",1,"turquoise"
"100",109,"OTU_215",4,"yellow"
"101",110,"OTU_216",1,"turquoise"
"102",111,"OTU_225",4,"yellow"
"103",112,"OTU_226",4,"yellow"
"104",113,"OTU_232",4,"yellow"
"105",114,"OTU_238",9,"magenta"
"106",115,"OTU_240",9,"magenta"
"107",116,"OTU_242",2,"blue"
"108",117,"OTU_244",5,"green"
"109",118,"OTU_245",4,"yellow"
"110",119,"OTU_248",6,"red"
"111",120,"OTU_267",2,"blue"
"112",121,"OTU_269",4,"yellow"
"113",122,"OTU_273",1,"turquoise"
"114",123,"OTU_277",4,"yellow"
