"","No","ID","No..module","modColors"
"115",124,"OTU_285",1,"turquoise"
"116",125,"OTU_292",1,"turquoise"
"117",126,"OTU_297",4,"yellow"
"118",127,"OTU_301",4,"yellow"
"119",128,"OTU_302",4,"yellow"
"120",129,"OTU_304",4,"yellow"
"121",130,"OTU_307",1,"turquoise"
"122",131,"OTU_310",1,"turquoise"
"123",132,"OTU_312",4,"yellow"
"124",133,"OTU_329",12,"tan"
"125",134,"OTU_335",1,"turquoise"
"126",135,"OTU_338",4,"yellow"
"127",136,"OTU_343",1,"turquoise"
"128",137,"OTU_347",1,"turquoise"
"129",138,"OTU_349",10,"purple"
"130",139,"OTU_350",4,"yellow"
"131",140,"OTU_354",5,"green"
"132",141,"OTU_363",5,"green"
"133",143,"OTU_365",2,"blue"
"134",144,"OTU_371",4,"yellow"
"135",145,"OTU_382",5,"green"
"136",146,"OTU_385",4,"yellow"
"137",147,"OTU_388",5,"green"
"138",148,"OTU_390",2,"blue"
"139",149,"OTU_394",1,"turquoise"
"140",150,"OTU_402",4,"yellow"
"141",151,"OTU_403",4,"yellow"
"142",152,"OTU_405",4,"yellow"
"143",153,"OTU_407",1,"turquoise"
"144",154,"OTU_415",3,"brown"
"145",155,"OTU_416",2,"blue"
"146",156,"OTU_420",3,"brown"
"147",157,"OTU_423",9,"magenta"
"148",158,"OTU_433",1,"turquoise"
"149",159,"OTU_435",1,"turquoise"
"150",160,"OTU_438",5,"green"
"151",161,"OTU_440",1,"turquoise"
"152",162,"OTU_441",3,"brown"
"153",163,"OTU_443",7,"black"
"154",164,"OTU_444",1,"turquoise"
"155",165,"OTU_449",10,"purple"
"156",166,"OTU_462",9,"magenta"
"157",167,"OTU_464",5,"green"
"158",168,"OTU_465",4,"yellow"
"159",169,"OTU_468",1,"turquoise"
"160",170,"OTU_473",2,"blue"
"161",171,"OTU_478",1,"turquoise"
"162",172,"OTU_482",6,"red"
"163",173,"OTU_483",3,"brown"
"164",174,"OTU_487",5,"green"
"165",175,"OTU_495",4,"yellow"
"166",176,"OTU_496",4,"yellow"
"167",178,"OTU_504",3,"brown"
"168",179,"OTU_507",3,"brown"
"169",180,"OTU_508",3,"brown"
"170",181,"OTU_511",4,"yellow"
"171",182,"OTU_514",5,"green"
"172",183,"OTU_527",4,"yellow"
"173",184,"OTU_529",5,"green"
"174",185,"OTU_540",1,"turquoise"
"175",186,"OTU_543",4,"yellow"
"176",187,"OTU_544",1,"turquoise"
"177",188,"OTU_576",5,"green"
"178",189,"OTU_578",5,"green"
"179",190,"OTU_579",1,"turquoise"
"180",191,"OTU_584",4,"yellow"
"181",192,"OTU_597",12,"tan"
"182",193,"OTU_604",4,"yellow"
"183",194,"OTU_608",3,"brown"
"184",195,"OTU_622",1,"turquoise"
"185",196,"OTU_623",4,"yellow"
"186",197,"OTU_628",1,"turquoise"
"187",198,"OTU_630",3,"brown"
"188",200,"OTU_644",7,"black"
"189",201,"OTU_664",4,"yellow"
"190",202,"OTU_677",4,"yellow"
"191",203,"OTU_681",5,"green"
"192",204,"OTU_683",3,"brown"
"193",205,"OTU_685",3,"brown"
"194",206,"OTU_689",4,"yellow"
"195",208,"OTU_713",4,"yellow"
"196",209,"OTU_715",5,"green"
"197",210,"OTU_716",1,"turquoise"
"198",211,"OTU_721",3,"brown"
"199",213,"OTU_732",5,"green"
"200",214,"OTU_740",5,"green"
"201",215,"OTU_741",2,"blue"
"202",216,"OTU_758",4,"yellow"
"203",217,"OTU_761",7,"black"
"204",218,"OTU_774",3,"brown"
"205",220,"OTU_797",1,"turquoise"
"206",221,"OTU_799",3,"brown"
"207",222,"OTU_807",4,"yellow"
"208",223,"OTU_817",3,"brown"
"209",224,"OTU_841",1,"turquoise"
"210",225,"OTU_842",1,"turquoise"
"211",226,"OTU_886",5,"green"
"212",227,"OTU_891",3,"brown"
"213",228,"OTU_892",3,"brown"
"214",229,"OTU_911",3,"brown"
"215",230,"OTU_924",4,"yellow"
"216",231,"OTU_940",7,"black"
"217",232,"OTU_944",12,"tan"
"218",233,"OTU_958",4,"yellow"
"219",234,"OTU_983",2,"blue"
"220",235,"OTU_985",1,"turquoise"
"221",236,"OTU_999",4,"yellow"
"222",237,"OTU_1014",3,"brown"
"223",238,"OTU_1017",1,"turquoise"
"224",239,"OTU_1021",3,"brown"
"225",240,"OTU_1039",3,"brown"
"226",241,"OTU_1046",12,"tan"
"227",242,"OTU_1061",4,"yellow"
"228",243,"OTU_1078",3,"brown"
"229",244,"OTU_1091",3,"brown"
"230",245,"OTU_1092",3,"brown"
"231",246,"OTU_1101",4,"yellow"
"232",247,"OTU_1119",4,"yellow"
"233",248,"OTU_1140",3,"brown"
"234",249,"OTU_1172",5,"green"
"235",250,"OTU_1173",3,"brown"
"236",251,"OTU_1202",5,"green"
"237",252,"OTU_1203",4,"yellow"
"238",253,"OTU_1211",7,"black"
"239",254,"OTU_1228",3,"brown"
"240",255,"OTU_1251",12,"tan"
"241",256,"OTU_1253",1,"turquoise"
"242",258,"OTU_1278",3,"brown"
"243",259,"OTU_1298",5,"green"
"244",260,"OTU_1313",5,"green"
"245",261,"OTU_1337",2,"blue"
"246",262,"OTU_1360",1,"turquoise"
"247",263,"OTU_1370",6,"red"
"248",264,"OTU_1382",1,"turquoise"
"249",265,"OTU_1396",3,"brown"
"250",266,"OTU_1434",3,"brown"
"251",267,"OTU_1479",3,"brown"
"252",268,"OTU_1487",7,"black"
"253",269,"OTU_1513",3,"brown"
"254",270,"OTU_1684",3,"brown"
"255",271,"OTU_1728",3,"brown"
"256",272,"OTU_1769",3,"brown"
"257",273,"OTU_1773",3,"brown"
"258",275,"OTU_1826",2,"blue"
"259",276,"OTU_1835",3,"brown"
"260",278,"OTU_1934",5,"green"
"261",279,"OTU_1988",4,"yellow"
"262",280,"OTU_2027",3,"brown"
"263",281,"OTU_2172",3,"brown"
"264",282,"OTU_2191",5,"green"
"265",283,"OTU_2230",3,"brown"
"266",284,"OTU_2293",12,"tan"
"267",285,"OTU_2412",6,"red"
"268",286,"OTU_2591",3,"brown"
"269",287,"OTU_2793",3,"brown"
"270",288,"OTU_2932",7,"black"
"271",289,"OTU_3148",2,"blue"
"272",290,"OTU_3446",1,"turquoise"
"273",291,"OTU_3634",4,"yellow"
"274",292,"OTU_3754",3,"brown"
"275",293,"OTU_3822",2,"blue"
"276",295,"OTU_4163",5,"green"
"277",296,"OTU_4247",1,"turquoise"
"278",297,"OTU_4524",4,"yellow"
"279",298,"OTU_4687",1,"turquoise"
"280",299,"OTU_5062",2,"blue"
"281",300,"OTU_5155",1,"turquoise"
"282",301,"OTU_5625",3,"brown"
"283",302,"OTU_5678",9,"magenta"
"284",303,"OTU_5730",5,"green"
"285",304,"OTU_5766",8,"pink"
"286",305,"OTU_5886",12,"tan"
"287",306,"OTU_6522",1,"turquoise"
"288",307,"OTU_6597",1,"turquoise"
"289",308,"OTU_6608",1,"turquoise"
"290",309,"OTU_7063",12,"tan"
"291",310,"OTU_7456",1,"turquoise"
"292",311,"OTU_7888",1,"turquoise"
"293",312,"OTU_7905",3,"brown"
"294",314,"OTU_8100",12,"tan"
"295",315,"OTU_8145",3,"brown"
"296",316,"OTU_8148",2,"blue"
"297",318,"OTU_8377",4,"yellow"
"298",319,"OTU_8379",3,"brown"
"299",320,"OTU_8598",1,"turquoise"
"300",321,"OTU_8875",12,"tan"
"301",322,"OTU_8971",7,"black"
"302",323,"OTU_9189",5,"green"
"303",324,"OTU_9679",2,"blue"
"304",326,"OTU_9779",3,"brown"
"305",327,"OTU_9905",2,"blue"
"306",328,"OTU_9957",4,"yellow"
"307",329,"OTU_9994",7,"black"
"308",330,"OTU_10251",3,"brown"
"309",331,"OTU_10370",3,"brown"
"310",332,"OTU_10488",4,"yellow"
"311",333,"OTU_10917",1,"turquoise"
"312",334,"OTU_10998",1,"turquoise"
"313",335,"OTU_11054",1,"turquoise"
"314",336,"OTU_11276",1,"turquoise"
"315",337,"OTU_11326",5,"green"
"316",338,"OTU_11423",8,"pink"
"317",339,"OTU_11791",12,"tan"
"318",340,"OTU_11931",4,"yellow"
"319",341,"OTU_12094",1,"turquoise"
"320",342,"OTU_12310",1,"turquoise"
"321",343,"OTU_12359",2,"blue"
"322",344,"OTU_12516",4,"yellow"
"323",345,"OTU_12543",4,"yellow"
"324",346,"OTU_12580",1,"turquoise"
"325",347,"OTU_12734",8,"pink"
"326",349,"OTU_13168",4,"yellow"
"327",350,"OTU_13177",4,"yellow"
"328",351,"OTU_13791",5,"green"
"329",352,"OTU_14293",5,"green"
"330",353,"OTU_14351",5,"green"
"331",354,"OTU_14574",4,"yellow"
"332",355,"OTU_14601",12,"tan"
"333",356,"OTU_14617",8,"pink"
"334",358,"OTU_14736",12,"tan"
"335",359,"OTU_14864",3,"brown"
"336",361,"OTU_15640",1,"turquoise"
"337",362,"OTU_15903",5,"green"
"338",363,"OTU_16045",4,"yellow"
"339",364,"OTU_16427",2,"blue"
"340",365,"OTU_16473",2,"blue"
"341",366,"OTU_17111",2,"blue"
"342",367,"OTU_17156",1,"turquoise"
"343",368,"OTU_17462",2,"blue"
"344",369,"OTU_17787",4,"yellow"
"345",371,"OTU_18117",3,"brown"
"346",372,"OTU_18617",12,"tan"
"347",373,"OTU_18641",4,"yellow"
"348",374,"OTU_18671",1,"turquoise"
"349",377,"OTU_19222",2,"blue"
"350",378,"OTU_19287",5,"green"
"351",379,"OTU_19766",4,"yellow"
"352",380,"OTU_19805",2,"blue"
"353",381,"OTU_20055",8,"pink"
"354",382,"OTU_20094",4,"yellow"
"355",383,"OTU_20360",7,"black"
"356",384,"OTU_20452",3,"brown"
"357",385,"OTU_20797",4,"yellow"
"358",386,"OTU_20810",6,"red"
"359",387,"OTU_21239",4,"yellow"
"360",388,"OTU_21262",1,"turquoise"
"361",389,"OTU_21361",4,"yellow"
"362",390,"OTU_21434",1,"turquoise"
"363",391,"OTU_21522",2,"blue"
"364",392,"OTU_21582",7,"black"
"365",393,"OTU_21739",8,"pink"
"366",394,"OTU_21837",1,"turquoise"
"367",395,"OTU_21841",1,"turquoise"
"368",396,"OTU_21849",7,"black"
"369",397,"OTU_21915",1,"turquoise"
"370",398,"OTU_21937",2,"blue"
"371",399,"OTU_22049",1,"turquoise"
"372",400,"OTU_22051",1,"turquoise"
"373",401,"OTU_22064",8,"pink"
"374",402,"OTU_22242",1,"turquoise"
"375",403,"OTU_22338",5,"green"
"376",404,"OTU_22456",1,"turquoise"
"377",405,"OTU_22558",3,"brown"
"378",406,"OTU_22658",1,"turquoise"
"379",407,"OTU_22698",3,"brown"
"380",408,"OTU_22728",2,"blue"
"381",409,"OTU_22802",8,"pink"
"382",410,"OTU_22899",1,"turquoise"
"383",411,"OTU_22981",6,"red"
"384",412,"OTU_23091",2,"blue"
"385",414,"OTU_23319",2,"blue"
"386",415,"OTU_23377",5,"green"
"387",416,"OTU_23828",3,"brown"
"388",417,"OTU_23906",4,"yellow"
"389",418,"OTU_24061",5,"green"
"390",419,"OTU_24085",1,"turquoise"
"391",420,"OTU_24090",12,"tan"
"392",422,"OTU_24474",5,"green"
"393",424,"OTU_24748",9,"magenta"
"394",425,"OTU_25138",3,"brown"
"395",427,"OTU_25345",5,"green"
"396",428,"OTU_25392",1,"turquoise"
"397",429,"OTU_25900",4,"yellow"
"398",430,"OTU_25972",5,"green"
"399",431,"OTU_25976",7,"black"
"400",432,"OTU_26248",4,"yellow"
