"","MEblack","MEblue","MEbrown","MEgreen","MEpink","MEpurple","MEturquoise","MEyellow"
"1",-0.0651264970729312,-0.0552313464300011,-0.0394627651668678,-0.0675065545139347,0.0549377688394793,0.0270274526404902,0.00854933227580339,0.0347296119468406
"2",-0.0731053959411885,-0.0437202086921602,-0.0509123483935062,-0.0137154784813114,0.0891393401977408,0.0307027523281428,-0.0167689510987238,0.0966968918423272
"3",-0.138267955965813,-0.0325233704083436,0.1239923625729,0.0204063604045257,0.313011659429444,-0.0606271849759522,0.0153869913461369,-0.0128299744238074
"4",-0.0792276587126914,-0.00788314118390217,-0.0155583112513704,-0.0727950422001248,0.0304479479065502,0.0527147988606643,-0.0313772755185185,0.0587965177982132
"5",-0.0900597234807648,-0.0659389710924711,0.0794652717156051,0.0138618724683869,-0.0230817610227698,-0.0373201059095218,-0.0628254303550396,0.0199057946332449
"6",0.0292165611292576,0.0373057001268507,-0.0358352632199011,-0.0626362214777913,0.175765338887691,0.160616827518187,-0.0560887850074138,0.171253704368905
"7",-0.0578985739048976,-0.018298278727359,0.202465569244774,-0.0307359645672622,0.0635955307661798,0.0833028836034714,-0.044728731011128,0.0528855545845549
"8",-0.119234999949087,-0.0803510643386743,0.0284445573191748,-0.0802951090709481,0.100442285729961,0.0508623081494359,-0.0890173585314861,0.138960015270972
"9",-0.0719811861384125,0.00463338941227359,0.0971342068447862,-0.0296885428220867,-0.00653291848531367,0.108869152899523,-0.0263700051192126,0.171691408683336
"10",-0.00314131686840532,-0.0190974542388154,-0.0531499585495361,0.213277799341695,-0.0717922546399699,-0.0239945605824494,-0.026812050344789,-0.0128627834462966
"11",-0.0372980312066178,-0.0309978312790331,0.0467082258062103,-0.0781056189035249,-0.00217951294389284,0.0703852689974181,0.0221795905141488,0.0536027598766452
"12",-0.0606561462007807,-0.0878894742394456,-0.0423491007055255,-0.0847486375436123,-0.0878999089138311,-0.0690220686044697,0.0223433146306144,-0.0441011337110513
"13",-0.0615710910148557,0.0256396142107139,-0.0425610786316663,0.00252192611049538,0.115321449111596,0.212836298191317,-0.0627318886203173,0.0975603825570415
