"","Module Membership","significance"
"",NA,NA
"OTU_1",0.927294193222877,3.5e-52
"OTU_5",0.812511527154004,2e-29
"OTU_50",0.831831183006906,5.9e-32
"OTU_135",0.763206771375329,4e-24
"OTU_188",0.701715975878231,4.4e-19
"OTU_204",0.400863647413838,5.7e-06
"OTU_225",0.823866977455044,7.1e-31
"OTU_329",0.766026013317412,2.1e-24
"OTU_597",0.862936500591216,8.9e-37
"OTU_944",0.720581294147052,1.7e-20
"OTU_1046",0.81269876555239,1.9e-29
"OTU_1251",0.575727704816836,6e-12
"OTU_2293",0.88254764568661,1.8e-40
"OTU_5886",0.836195490524539,1.4e-32
"OTU_8100",0.614906665279064,7.9e-14
"OTU_8875",0.709308542535525,1.2e-19
"OTU_11791",0.878835946103733,1e-39
"OTU_14601",0.74069666042871,4.1e-22
"OTU_14736",0.826335232032841,3.3e-31
"OTU_18617",0.836589521811679,1.3e-32
"OTU_20178",0.60553513102442,2.4e-13
"OTU_24090",0.787389788302553,1.5e-26
"OTU_7",0.409741295767104,3.4e-06
"OTU_42",0.568337995974992,1.3e-11
"OTU_1360",0.777536280518865,1.6e-25
"OTU_8598",0.776956617558562,1.8e-25
"OTU_21915",0.935399282610717,4.1e-55
"OTU_25392",0.864051634924123,5.7e-37
"OTU_13",0.907901391432341,2.2e-46
"OTU_23",0.465203682517598,8.6e-08
"OTU_26",0.705561473474787,2.3e-19
"OTU_31",-0.66924741044076,6.5e-17
"OTU_35",0.847061442648903,3.5e-34
"OTU_40",0.741232897049431,3.7e-22
"OTU_41",0.444086056980921,3.8e-07
"OTU_43",-0.641110625453118,3.1e-15
"OTU_73",0.76504437830797,2.7e-24
"OTU_88",0.536055115500435,2.8e-10
"OTU_106",0.653294146186044,6.1e-16
"OTU_120",0.689317546410093,3.2e-18
"OTU_123",-0.497517920833444,7.4e-09
"OTU_128",0.808048282821977,6.9e-29
"OTU_131",0.843105329270542,1.4e-33
"OTU_147",0.532307208106279,3.9e-10
"OTU_167",0.763422802853603,3.8e-24
"OTU_202",0.867238507620989,1.5e-37
"OTU_214",0.563410837324322,2.1e-11
"OTU_321",0.734006482873561,1.5e-21
"OTU_348",0.770472626487307,8e-25
"OTU_360",0.745811314806885,1.5e-22
"OTU_363",0.485252246936216,1.9e-08
"OTU_422",0.741675165807127,3.4e-22
"OTU_480",0.634872665154101,6.9e-15
"OTU_594",0.789899107538705,8e-27
"OTU_612",0.816296431844185,6.7e-30
"OTU_740",0.731425041035073,2.4e-21
"OTU_888",0.711571131696935,8.4e-20
"OTU_1022",0.722450387611711,1.2e-20
"OTU_1370",0.779960453431017,9e-26
"OTU_1973",0.410551336414439,3.2e-06
"OTU_2269",0.544687167642288,1.3e-10
"OTU_2822",0.472407243006425,5.1e-08
"OTU_4247",0.581348594920223,3.4e-12
"OTU_8849",0.275542477721923,0.0023
"OTU_14733",-0.551620145003647,6.6e-11
"OTU_17530",0.697511199445634,8.7e-19
"OTU_18685",0.558736857074372,3.3e-11
"OTU_20668",0.665313592782281,1.1e-16
"OTU_20810",0.661767710719879,1.9e-16
"OTU_21522",0.749854516207218,6.6e-23
"OTU_22899",-0.503775137637838,4.5e-09
"OTU_22981",0.836023269052309,1.5e-32
"OTU_24435",-0.559700814227813,3e-11
"OTU_25114",0.765680507485152,2.3e-24
"OTU_14",0.762377105794417,4.8e-24
"OTU_21",0.90452639452968,1.7e-45
"OTU_32",0.832252720184149,5.2e-32
"OTU_49",0.67165288842279,4.6e-17
"OTU_70",0.715855352417183,4e-20
"OTU_72",0.405051131887209,4.5e-06
"OTU_81",0.804472802207832,1.8e-28
"OTU_96",0.700740004144356,5.1e-19
"OTU_102",0.852324160114544,5.2e-35
"OTU_108",0.78009932654638,8.7e-26
"OTU_126",0.646166898228286,1.6e-15
"OTU_139",0.739448565663408,5.2e-22
"OTU_140",0.553064785367718,5.7e-11
"OTU_144",0.460776724361012,1.2e-07
"OTU_161",0.676914521894392,2.1e-17
"OTU_175",0.764343573265753,3.1e-24
"OTU_180",0.748078770754089,9.4e-23
"OTU_187",0.857743884101383,6.8e-36
"OTU_190",0.794366609175835,2.6e-27
"OTU_207",0.72808383220084,4.4e-21
"OTU_215",0.793654622749685,3.1e-27
"OTU_221",0.445186679267118,3.5e-07
"OTU_223",0.82597075172457,3.7e-31
"OTU_232",0.7316866098041,2.3e-21
"OTU_245",0.769692179506909,9.5e-25
"OTU_269",0.648657197506669,1.1e-15
"OTU_287",0.734546493747367,1.3e-21
"OTU_292",0.697569599978004,8.6e-19
"OTU_297",0.760205990810462,7.6e-24
"OTU_301",0.728973160382813,3.8e-21
"OTU_302",0.5777009766932,4.9e-12
"OTU_386",0.695093675222311,1.3e-18
"OTU_389",0.724190980961542,9e-21
"OTU_440",0.743384721411429,2.4e-22
"OTU_600",0.544313175120215,1.3e-10
"OTU_628",0.621333896921279,3.7e-14
"OTU_664",0.757028167809815,1.5e-23
"OTU_695",0.713809069421751,5.7e-20
"OTU_913",0.807766133072044,7.5e-29
"OTU_1469",0.373767709053226,2.6e-05
"OTU_1610",0.764336239048288,3.1e-24
"OTU_2953",0.337443089285276,0.00016
"OTU_8377",0.628554504631345,1.5e-14
"OTU_12094",0.566220029572266,1.6e-11
"OTU_13168",0.673500587460152,3.5e-17
"OTU_16896",0.783740680831357,3.6e-26
"OTU_18671",0.616042207381998,6.9e-14
"OTU_18800",0.778781807227447,1.2e-25
"OTU_19459",0.709391328997881,1.2e-19
"OTU_19766",0.815832241989121,7.7e-30
"OTU_20797",0.805103177852004,1.5e-28
"OTU_21434",0.724338781155963,8.8e-21
"OTU_21929",0.600877130451531,4e-13
"OTU_24660",0.62761704859189,1.7e-14
"OTU_25",0.479758414009923,3e-08
"OTU_36",0.698312513022054,7.6e-19
"OTU_55",0.485520664853158,1.9e-08
"OTU_59",0.725374620279468,7.3e-21
"OTU_89",0.825908204698991,3.8e-31
"OTU_98",0.582825537576068,2.9e-12
"OTU_110",0.781518013580804,6.2e-26
"OTU_112",0.738124098539689,6.7e-22
"OTU_117",0.778844307552376,1.2e-25
"OTU_121",0.838873640478031,5.9e-33
"OTU_136",0.741412493423406,3.5e-22
"OTU_138",0.426811433699579,1.2e-06
"OTU_141",0.876228517619786,3.2e-39
"OTU_143",0.584273655880067,2.5e-12
"OTU_185",0.716295508623157,3.7e-20
"OTU_189",0.791072168884833,6e-27
"OTU_205",0.722090300708868,1.3e-20
"OTU_208",0.540352073057211,1.9e-10
"OTU_238",0.799536833548028,6.8e-28
"OTU_240",0.626188539950564,2e-14
"OTU_244",0.702217112742495,4e-19
"OTU_276",0.5447202888041,1.3e-10
"OTU_299",0.66164060894262,1.9e-16
"OTU_378",0.494393196047792,9.5e-09
"OTU_382",0.56618722377723,1.6e-11
"OTU_423",0.870687492306845,3.6e-38
"OTU_462",0.435635540822821,6.6e-07
"OTU_464",0.525846879518907,6.9e-10
"OTU_475",0.405230101030812,4.4e-06
"OTU_487",0.807323127725308,8.4e-29
"OTU_492",0.733626311588886,1.6e-21
"OTU_514",0.671561384852656,4.7e-17
"OTU_529",0.669766706496355,6.1e-17
"OTU_550",0.701175213273993,4.8e-19
"OTU_576",0.811842255789326,2.4e-29
"OTU_660",0.482956342549104,2.3e-08
"OTU_674",0.752478692147526,3.8e-23
"OTU_750",0.483487473728932,2.2e-08
"OTU_759",0.451977052696253,2.2e-07
"OTU_785",0.280816805135718,0.0019
"OTU_868",0.706320376544469,2e-19
"OTU_886",0.636422820257575,5.6e-15
"OTU_1068",0.573570392106555,7.5e-12
"OTU_1249",0.761136580148953,6.2e-24
"OTU_1326",0.725276958483734,7.4e-21
"OTU_1646",0.624852706753819,2.4e-14
"OTU_4781",0.625840367293399,2.1e-14
"OTU_4888",0.594097408098261,8.5e-13
"OTU_5678",0.444258035735827,3.7e-07
"OTU_5730",0.723650233464861,1e-20
"OTU_8428",0.73619868664857,9.7e-22
"OTU_13791",0.632305278414414,9.5e-15
"OTU_14351",0.666791179735536,9.3e-17
"OTU_14565",0.663682983168198,1.4e-16
"OTU_16676",0.464607131570773,9e-08
"OTU_17207",0.732869704651551,1.8e-21
"OTU_19287",0.821716054091365,1.4e-30
"OTU_22338",0.819733444091134,2.4e-30
"OTU_23377",0.592500896146611,1e-12
"OTU_24474",0.819926971123611,2.3e-30
"OTU_24748",0.652293121718097,7e-16
"OTU_25249",0.671642141537827,4.6e-17
"OTU_25345",0.577433986034018,5.1e-12
"OTU_25972",0.788287926772509,1.2e-26
"OTU_38",0.713794661448392,5.7e-20
"OTU_111",0.783628660594183,3.7e-26
"OTU_115",0.826762381269025,2.9e-31
"OTU_148",0.719344850374327,2.2e-20
"OTU_170",0.779048680499006,1.1e-25
"OTU_176",0.836552279778575,1.3e-32
