"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131"
"1","0.6
(5e-13)","0.089
(0.3)","0.55
(6e-11)","0.55
(9e-11)","-0.31
(5e-04)","0.22
(0.01)","0.23
(0.01)","0.051
(0.6)","-0.16
(0.08)","-0.057
(0.5)","0.19
(0.04)","0.067
(0.5)","0.19
(0.04)","0.27
(0.002)","-0.042
(0.6)","-0.075
(0.4)","-0.13
(0.2)","0.21
(0.02)","0.24
(0.009)","0.23
(0.01)","0.2
(0.03)","0.15
(0.1)","0.15
(0.1)","0.21
(0.02)","0.2
(0.03)","-0.16
(0.08)","0.18
(0.04)","0.16
(0.07)","0.24
(0.008)","0.17
(0.06)","0.18
(0.05)","0.18
(0.06)","0.2
(0.03)","0.13
(0.2)","0.13
(0.2)","0.2
(0.03)","-0.00031
(1)","0.26
(0.004)","-0.11
(0.2)","0.19
(0.04)","0.26
(0.004)","0.16
(0.07)","0.21
(0.02)","0.089
(0.3)","-0.0046
(1)","0.04
(0.7)","0.34
(2e-04)","0.072
(0.4)","0.15
(0.1)","0.17
(0.06)","0.017
(0.9)","0.13
(0.2)","0.43
(8e-07)","0.16
(0.08)","0.25
(0.005)","0.071
(0.4)","0.18
(0.05)","0.14
(0.1)","0.11
(0.2)","-0.0064
(0.9)","0.099
(0.3)","0.023
(0.8)","0.17
(0.07)","0.063
(0.5)","0.045
(0.6)","-0.018
(0.8)","0.097
(0.3)","-0.081
(0.4)","-0.062
(0.5)","-0.0071
(0.9)","-0.3
(7e-04)","0.2
(0.03)","0.37
(3e-05)","0.25
(0.006)","0.33
(2e-04)","0.12
(0.2)","0.3
(9e-04)","0.23
(0.01)","0.15
(0.1)","0.03
(0.7)","0.052
(0.6)","0.21
(0.02)","-0.22
(0.02)","0.14
(0.1)","0.069
(0.5)","0.36
(4e-05)","0.15
(0.1)","0.14
(0.1)","0.071
(0.4)","0.11
(0.2)","-0.23
(0.01)","0.16
(0.08)","0.14
(0.1)","-0.22
(0.01)","0.34
(1e-04)","0.05
(0.6)","0.096
(0.3)","0.27
(0.003)","0.19
(0.04)","0.23
(0.01)","0.14
(0.1)","0.049
(0.6)","-0.2
(0.03)","0.22
(0.01)","-0.22
(0.02)","0.23
(0.01)","0.13
(0.2)","-0.085
(0.4)","0.087
(0.3)","0.42
(2e-06)","0.2
(0.03)","0.35
(8e-05)","0.25
(0.006)","-0.05
(0.6)","0.25
(0.006)","-0.072
(0.4)","0.052
(0.6)","-0.078
(0.4)","0.09
(0.3)","-0.076
(0.4)","-0.033
(0.7)","-0.019
(0.8)","-0.24
(0.009)","0.052
(0.6)","-0.23
(0.01)","-0.096
(0.3)","0.092
(0.3)","0.0018
(1)","0.26
(0.004)","0.37
(3e-05)","0.25
(0.006)"
"2","0.2
(0.03)","0.21
(0.02)","0.25
(0.006)","0.28
(0.002)","0.0023
(1)","0.27
(0.003)","0.041
(0.7)","0.35
(9e-05)","-0.13
(0.2)","0.28
(0.002)","0.03
(0.7)","0.27
(0.002)","0.22
(0.02)","0.05
(0.6)","-0.081
(0.4)","0.057
(0.5)","-0.027
(0.8)","0.21
(0.02)","0.21
(0.02)","0.19
(0.03)","0.29
(0.001)","0.14
(0.1)","0.13
(0.1)","0.19
(0.04)","0.19
(0.04)","0.11
(0.2)","0.18
(0.04)","0.18
(0.04)","0.32
(4e-04)","0.2
(0.03)","0.12
(0.2)","0.22
(0.02)","0.18
(0.05)","0.069
(0.5)","0.1
(0.3)","0.24
(0.007)","0.0084
(0.9)","0.24
(0.009)","0.083
(0.4)","0.043
(0.6)","0.35
(8e-05)","0.22
(0.01)","0.2
(0.03)","0.11
(0.2)","0.23
(0.01)","0.071
(0.4)","0.43
(7e-07)","0.053
(0.6)","0.06
(0.5)","0.15
(0.1)","0.064
(0.5)","0.35
(7e-05)","0.47
(5e-08)","0.11
(0.2)","0.21
(0.02)","0.089
(0.3)","0.18
(0.05)","0.19
(0.03)","0.093
(0.3)","0.077
(0.4)","0.056
(0.5)","0.03
(0.7)","0.073
(0.4)","0.14
(0.1)","0.12
(0.2)","0.053
(0.6)","0.12
(0.2)","0.023
(0.8)","0.1
(0.3)","0.0023
(1)","-0.042
(0.6)","0.23
(0.01)","0.34
(1e-04)","0.29
(0.001)","0.19
(0.04)","-0.07
(0.4)","0.15
(0.1)","0.2
(0.03)","-0.042
(0.6)","-0.032
(0.7)","1.4e-05
(1)","0.035
(0.7)","-0.17
(0.07)","0.17
(0.06)","0.028
(0.8)","0.31
(7e-04)","0.14
(0.1)","-0.13
(0.2)","-0.024
(0.8)","-0.04
(0.7)","-0.25
(0.006)","0.016
(0.9)","0.13
(0.2)","-0.19
(0.04)","0.16
(0.08)","0.049
(0.6)","-0.23
(0.01)","0.3
(9e-04)","0.22
(0.02)","0.16
(0.08)","-0.093
(0.3)","0.045
(0.6)","-0.21
(0.02)","0.3
(9e-04)","-0.25
(0.007)","0.042
(0.6)","-0.041
(0.7)","-0.095
(0.3)","0.48
(3e-08)","0.45
(2e-07)","0.22
(0.01)","0.23
(0.01)","0.063
(0.5)","-0.088
(0.3)","0.32
(4e-04)","-0.23
(0.01)","0.027
(0.8)","-0.058
(0.5)","0.027
(0.8)","-0.14
(0.1)","-0.043
(0.6)","-0.0022
(1)","-0.23
(0.01)","-0.04
(0.7)","-0.081
(0.4)","0.11
(0.3)","-0.11
(0.2)","-0.08
(0.4)","0.25
(0.006)","0.34
(1e-04)","0.29
(0.001)"
"3","-0.095
(0.3)","0.039
(0.7)","-0.078
(0.4)","-0.091
(0.3)","0.015
(0.9)","0.13
(0.2)","-0.053
(0.6)","-0.08
(0.4)","0.052
(0.6)","-0.048
(0.6)","-0.11
(0.2)","-0.13
(0.2)","-0.1
(0.3)","-0.023
(0.8)","0.11
(0.2)","-0.24
(0.007)","-0.14
(0.1)","0.12
(0.2)","0.14
(0.1)","0.15
(0.1)","0.15
(0.1)","0.14
(0.1)","0.14
(0.1)","0.2
(0.03)","0.12
(0.2)","0.087
(0.3)","0.11
(0.2)","0.11
(0.2)","0.08
(0.4)","0.15
(0.1)","0.094
(0.3)","0.15
(0.1)","0.075
(0.4)","0.1
(0.3)","0.16
(0.08)","0.2
(0.03)","0.13
(0.2)","0.15
(0.1)","0.21
(0.02)","0.051
(0.6)","0.14
(0.1)","0.094
(0.3)","0.11
(0.2)","0.11
(0.2)","0.17
(0.06)","0.19
(0.04)","0.049
(0.6)","0.074
(0.4)","0.12
(0.2)","0.12
(0.2)","0.13
(0.2)","0.2
(0.03)","0.042
(0.6)","0.075
(0.4)","0.18
(0.05)","0.12
(0.2)","0.12
(0.2)","0.086
(0.4)","0.11
(0.2)","0.15
(0.1)","0.23
(0.01)","0.1
(0.3)","0.099
(0.3)","0.2
(0.03)","0.15
(0.1)","0.11
(0.2)","0.16
(0.08)","-0.036
(0.7)","0.28
(0.002)","0.076
(0.4)","-0.017
(0.9)","0.18
(0.04)","0.14
(0.1)","0.13
(0.2)","4.4e-05
(1)","0.0064
(0.9)","0.028
(0.8)","0.028
(0.8)","0.036
(0.7)","0.062
(0.5)","0.053
(0.6)","-0.047
(0.6)","-0.065
(0.5)","-0.065
(0.5)","0.13
(0.2)","-0.03
(0.7)","0.048
(0.6)","-0.13
(0.2)","-0.059
(0.5)","-0.081
(0.4)","-0.08
(0.4)","0.045
(0.6)","0.013
(0.9)","-0.0068
(0.9)","0.069
(0.5)","0.056
(0.5)","-0.12
(0.2)","-0.068
(0.5)","0.013
(0.9)","0.011
(0.9)","-0.058
(0.5)","0.095
(0.3)","0.1
(0.3)","-0.1
(0.3)","-0.13
(0.2)","0.014
(0.9)","0.062
(0.5)","0.15
(0.1)","0.089
(0.3)","0.096
(0.3)","0.021
(0.8)","0.18
(0.05)","0.053
(0.6)","0.11
(0.2)","-0.11
(0.2)","-0.12
(0.2)","0.11
(0.2)","0.024
(0.8)","0.068
(0.5)","0.21
(0.02)","-0.058
(0.5)","0.083
(0.4)","0.08
(0.4)","0.046
(0.6)","-0.078
(0.4)","0.2
(0.03)","0.034
(0.7)","-0.12
(0.2)","0.19
(0.04)","0.14
(0.1)","0.13
(0.2)"
"4","-0.13
(0.1)","-0.12
(0.2)","-0.25
(0.007)","-0.26
(0.005)","-0.17
(0.06)","-0.34
(2e-04)","-0.071
(0.4)","-0.35
(8e-05)","0.089
(0.3)","-0.31
(6e-04)","-0.096
(0.3)","-0.33
(3e-04)","-0.27
(0.003)","-0.084
(0.4)","0.029
(0.8)","-0.24
(0.009)","-0.22
(0.01)","0.076
(0.4)","0.084
(0.4)","0.076
(0.4)","0.034
(0.7)","0.1
(0.3)","0.14
(0.1)","0.094
(0.3)","0.086
(0.4)","-0.097
(0.3)","0.067
(0.5)","0.077
(0.4)","0.029
(0.8)","0.081
(0.4)","0.076
(0.4)","0.093
(0.3)","0.08
(0.4)","0.18
(0.05)","0.18
(0.05)","0.072
(0.4)","0.15
(0.09)","0.092
(0.3)","0.17
(0.06)","0.14
(0.1)","-0.05
(0.6)","0.062
(0.5)","0.069
(0.5)","0.16
(0.07)","0.13
(0.2)","0.23
(0.01)","-0.15
(0.09)","0.1
(0.3)","0.16
(0.09)","0.13
(0.2)","0.15
(0.1)","0.016
(0.9)","-0.13
(0.2)","0.1
(0.3)","0.095
(0.3)","0.13
(0.2)","0.098
(0.3)","0.061
(0.5)","0.14
(0.1)","0.17
(0.06)","0.19
(0.04)","0.24
(0.007)","0.11
(0.2)","0.17
(0.06)","-0.027
(0.8)","0.16
(0.09)","0.098
(0.3)","-0.02
(0.8)","-0.017
(0.9)","0.19
(0.04)","0.032
(0.7)","-0.028
(0.8)","-0.035
(0.7)","0.04
(0.7)","-0.1
(0.3)","0.0043
(1)","-0.088
(0.3)","-0.049
(0.6)","-0.029
(0.8)","0.17
(0.06)","-0.041
(0.7)","0.088
(0.3)","-0.15
(0.09)","-0.15
(0.1)","0.053
(0.6)","-0.16
(0.07)","-0.066
(0.5)","-0.097
(0.3)","-0.068
(0.5)","-0.025
(0.8)","0.0097
(0.9)","0.036
(0.7)","0.0082
(0.9)","0.14
(0.1)","-0.064
(0.5)","-0.032
(0.7)","0.053
(0.6)","-0.33
(2e-04)","-0.095
(0.3)","0.00038
(1)","0.081
(0.4)","0.098
(0.3)","0.23
(0.01)","-0.29
(0.001)","-0.021
(0.8)","0.0087
(0.9)","0.067
(0.5)","0.07
(0.4)","-0.31
(6e-04)","-0.18
(0.05)","-0.17
(0.07)","0.036
(0.7)","-0.047
(0.6)","0.11
(0.2)","-0.14
(0.1)","0.12
(0.2)","0.17
(0.07)","0.047
(0.6)","-0.047
(0.6)","0.24
(0.009)","-0.0032
(1)","0.027
(0.8)","0.25
(0.006)","-0.013
(0.9)","-0.00032
(1)","-0.042
(0.6)","0.11
(0.2)","-0.078
(0.4)","-0.056
(0.5)","-0.035
(0.7)","0.04
(0.7)"
"5","-0.33
(3e-04)","-0.18
(0.05)","-0.46
(1e-07)","-0.46
(2e-07)","0.066
(0.5)","-0.32
(3e-04)","-0.2
(0.03)","-0.3
(8e-04)","0.13
(0.2)","-0.23
(0.01)","-0.16
(0.09)","-0.19
(0.03)","-0.21
(0.02)","-0.14
(0.1)","0.063
(0.5)","-0.11
(0.2)","-0.047
(0.6)","-0.091
(0.3)","-0.11
(0.2)","-0.093
(0.3)","-0.11
(0.2)","-0.026
(0.8)","0.017
(0.9)","-0.045
(0.6)","-0.082
(0.4)","0.022
(0.8)","-0.11
(0.2)","-0.049
(0.6)","-0.13
(0.2)","-0.046
(0.6)","-0.066
(0.5)","-0.072
(0.4)","-0.069
(0.5)","-0.034
(0.7)","0.033
(0.7)","-0.088
(0.3)","0.15
(0.1)","-0.16
(0.08)","0.15
(0.1)","-0.0081
(0.9)","-0.15
(0.09)","-0.087
(0.3)","-0.096
(0.3)","0.026
(0.8)","0.056
(0.5)","0.059
(0.5)","-0.35
(8e-05)","-0.0043
(1)","0.01
(0.9)","-0.036
(0.7)","0.041
(0.7)","-0.043
(0.6)","-0.29
(0.001)","-0.054
(0.6)","-0.082
(0.4)","-0.025
(0.8)","-0.096
(0.3)","-0.091
(0.3)","0.014
(0.9)","0.17
(0.07)","0.038
(0.7)","0.1
(0.3)","-0.023
(0.8)","0.043
(0.6)","-0.1
(0.3)","0.092
(0.3)","-0.036
(0.7)","0.072
(0.4)","0.038
(0.7)","0.073
(0.4)","0.085
(0.4)","-0.16
(0.07)","-0.22
(0.02)","-0.032
(0.7)","-0.15
(0.09)","-0.019
(0.8)","-0.15
(0.1)","-0.017
(0.9)","-0.0063
(0.9)","0.2
(0.03)","0.092
(0.3)","-0.0076
(0.9)","0.099
(0.3)","-0.16
(0.08)","0.024
(0.8)","-0.24
(0.008)","-0.0027
(1)","-0.039
(0.7)","0.01
(0.9)","0.016
(0.9)","0.097
(0.3)","0.024
(0.8)","-0.0014
(1)","0.35
(7e-05)","-0.19
(0.04)","-0.045
(0.6)","0.068
(0.5)","-0.23
(0.01)","-0.17
(0.07)","-0.077
(0.4)","0.055
(0.6)","0.089
(0.3)","0.19
(0.04)","-0.31
(5e-04)","0.062
(0.5)","-0.053
(0.6)","0.05
(0.6)","0.068
(0.5)","-0.16
(0.08)","-0.31
(5e-04)","-0.14
(0.1)","-0.13
(0.1)","-0.15
(0.1)","0.11
(0.2)","-0.21
(0.02)","0.19
(0.04)","0.13
(0.1)","0.12
(0.2)","0.0026
(1)","0.19
(0.04)","0.031
(0.7)","-0.038
(0.7)","0.33
(3e-04)","-0.055
(0.5)","0.19
(0.04)","0.016
(0.9)","0.086
(0.4)","-0.065
(0.5)","-0.21
(0.02)","-0.22
(0.02)","-0.032
(0.7)"
"6","-0.23
(0.01)","-0.15
(0.1)","-0.29
(0.001)","-0.29
(0.001)","0.16
(0.09)","-0.048
(0.6)","-0.038
(0.7)","0.069
(0.5)","0.033
(0.7)","0.096
(0.3)","0.051
(0.6)","0.052
(0.6)","-0.051
(0.6)","-0.17
(0.06)","0.072
(0.4)","0.14
(0.1)","0.23
(0.01)","-0.34
(1e-04)","-0.33
(3e-04)","-0.35
(1e-04)","-0.33
(2e-04)","-0.3
(9e-04)","-0.28
(0.002)","-0.31
(5e-04)","-0.34
(2e-04)","-0.039
(0.7)","-0.31
(6e-04)","-0.28
(0.002)","-0.38
(2e-05)","-0.31
(5e-04)","-0.31
(6e-04)","-0.34
(1e-04)","-0.3
(0.001)","-0.22
(0.01)","-0.28
(0.002)","-0.35
(9e-05)","-0.13
(0.1)","-0.37
(4e-05)","-0.15
(0.1)","-0.22
(0.02)","-0.39
(1e-05)","-0.29
(0.002)","-0.3
(7e-04)","-0.26
(0.004)","-0.25
(0.007)","-0.29
(0.001)","-0.36
(5e-05)","-0.24
(0.008)","-0.27
(0.003)","-0.31
(6e-04)","-0.23
(0.01)","-0.33
(2e-04)","-0.41
(4e-06)","-0.3
(8e-04)","-0.32
(4e-04)","-0.22
(0.02)","-0.31
(6e-04)","-0.33
(2e-04)","-0.26
(0.004)","0.0025
(1)","-0.28
(0.002)","-0.22
(0.01)","-0.28
(0.002)","-0.26
(0.004)","-0.15
(0.09)","-0.18
(0.05)","-0.21
(0.02)","0.036
(0.7)","-0.14
(0.1)","-0.21
(0.02)","0.12
(0.2)","-0.32
(3e-04)","-0.43
(1e-06)","-0.35
(1e-04)","-0.29
(0.001)","0.013
(0.9)","-0.27
(0.003)","-0.12
(0.2)","-0.1
(0.3)","-0.054
(0.6)","-0.0021
(1)","-0.2
(0.03)","0.27
(0.003)","-0.064
(0.5)","-0.12
(0.2)","-0.34
(1e-04)","-0.15
(0.1)","-0.1
(0.3)","0.055
(0.5)","0.0073
(0.9)","0.2
(0.03)","-0.17
(0.06)","-0.099
(0.3)","0.19
(0.04)","-0.25
(0.007)","-0.065
(0.5)","0.14
(0.1)","-0.14
(0.1)","-0.22
(0.02)","-0.22
(0.02)","-0.14
(0.1)","-0.07
(0.4)","0.059
(0.5)","-0.034
(0.7)","0.19
(0.03)","-0.2
(0.03)","-0.14
(0.1)","0.015
(0.9)","-0.08
(0.4)","-0.39
(9e-06)","-0.23
(0.01)","-0.36
(4e-05)","-0.22
(0.02)","-0.079
(0.4)","-0.18
(0.05)","0.055
(0.5)","-0.0088
(0.9)","0.021
(0.8)","-0.2
(0.03)","-0.043
(0.6)","0.091
(0.3)","-0.1
(0.3)","0.058
(0.5)","-0.064
(0.5)","0.21
(0.02)","-0.061
(0.5)","-0.16
(0.09)","0.089
(0.3)","-0.36
(5e-05)","-0.43
(1e-06)","-0.35
(1e-04)"
"7","-0.39
(8e-06)","-0.22
(0.02)","-0.48
(2e-08)","-0.49
(1e-08)","0.19
(0.04)","-0.24
(0.008)","-0.13
(0.2)","-0.2
(0.03)","0.28
(0.002)","-0.017
(0.9)","-0.045
(0.6)","-0.17
(0.07)","-0.19
(0.04)","-0.14
(0.1)","-0.016
(0.9)","0.023
(0.8)","0.008
(0.9)","-0.17
(0.07)","-0.18
(0.05)","-0.18
(0.05)","-0.23
(0.01)","-0.13
(0.1)","-0.089
(0.3)","-0.15
(0.1)","-0.15
(0.1)","-0.15
(0.09)","-0.16
(0.08)","-0.1
(0.3)","-0.27
(0.003)","-0.16
(0.09)","-0.12
(0.2)","-0.18
(0.05)","-0.11
(0.2)","-0.037
(0.7)","-0.052
(0.6)","-0.2
(0.03)","-0.01
(0.9)","-0.22
(0.02)","0.045
(0.6)","-0.02
(0.8)","-0.29
(0.001)","-0.15
(0.1)","-0.15
(0.1)","-0.049
(0.6)","-0.082
(0.4)","-0.073
(0.4)","-0.43
(1e-06)","-0.039
(0.7)","-0.086
(0.4)","-0.098
(0.3)","-0.024
(0.8)","-0.26
(0.004)","-0.42
(1e-06)","-0.12
(0.2)","-0.21
(0.02)","-0.054
(0.6)","-0.15
(0.1)","-0.15
(0.1)","-0.063
(0.5)","-0.026
(0.8)","-0.1
(0.3)","0.024
(0.8)","-0.074
(0.4)","-0.079
(0.4)","-0.15
(0.1)","0.064
(0.5)","-0.1
(0.3)","-0.084
(0.4)","-0.18
(0.04)","0.031
(0.7)","0.031
(0.7)","-0.35
(8e-05)","-0.35
(8e-05)","-0.2
(0.03)","-0.22
(0.02)","0.0015
(1)","-0.18
(0.05)","-0.28
(0.002)","-0.067
(0.5)","0.052
(0.6)","0.017
(0.9)","-0.057
(0.5)","0.031
(0.7)","-0.15
(0.1)","-0.032
(0.7)","-0.32
(4e-04)","-0.15
(0.09)","0.03
(0.7)","-0.092
(0.3)","0.094
(0.3)","0.21
(0.02)","-0.035
(0.7)","-0.066
(0.5)","0.2
(0.03)","-0.21
(0.02)","-0.083
(0.4)","0.19
(0.03)","-0.36
(4e-05)","-0.21
(0.02)","-0.12
(0.2)","0.033
(0.7)","-0.018
(0.8)","0.099
(0.3)","-0.29
(0.001)","0.19
(0.04)","-0.15
(0.1)","0.023
(0.8)","0.082
(0.4)","-0.32
(4e-04)","-0.42
(2e-06)","-0.25
(0.005)","-0.32
(4e-04)","-0.13
(0.2)","0.063
(0.5)","-0.22
(0.02)","0.23
(0.01)","-0.08
(0.4)","0.078
(0.4)","0.0079
(0.9)","0.14
(0.1)","0.11
(0.2)","-0.017
(0.9)","0.29
(0.001)","0.03
(0.7)","0.052
(0.6)","-0.13
(0.2)","0.047
(0.6)","-0.037
(0.7)","-0.39
(1e-05)","-0.35
(8e-05)","-0.2
(0.03)"
"8","-0.46
(1e-07)","-0.19
(0.04)","-0.49
(2e-08)","-0.46
(1e-07)","0.35
(1e-04)","-0.23
(0.01)","-0.26
(0.004)","-0.038
(0.7)","0.2
(0.03)","0.096
(0.3)","-0.085
(0.4)","0.0027
(1)","-0.12
(0.2)","-0.24
(0.007)","-0.017
(0.9)","0.2
(0.03)","0.2
(0.03)","-0.22
(0.02)","-0.28
(0.002)","-0.26
(0.005)","-0.2
(0.03)","-0.2
(0.03)","-0.15
(0.09)","-0.21
(0.02)","-0.23
(0.01)","0.0063
(0.9)","-0.22
(0.02)","-0.16
(0.08)","-0.21
(0.02)","-0.18
(0.05)","-0.22
(0.02)","-0.19
(0.03)","-0.16
(0.08)","-0.18
(0.05)","-0.14
(0.1)","-0.23
(0.01)","-0.0073
(0.9)","-0.24
(0.008)","0.047
(0.6)","-0.13
(0.1)","-0.21
(0.02)","-0.18
(0.05)","-0.2
(0.03)","-0.16
(0.09)","-0.075
(0.4)","-0.14
(0.1)","-0.26
(0.004)","-0.16
(0.07)","-0.22
(0.01)","-0.2
(0.03)","-0.1
(0.3)","-0.16
(0.09)","-0.31
(6e-04)","-0.22
(0.02)","-0.24
(0.009)","-0.18
(0.05)","-0.25
(0.006)","-0.2
(0.03)","-0.14
(0.1)","0.018
(0.8)","-0.24
(0.008)","-0.14
(0.1)","-0.19
(0.04)","-0.16
(0.08)","-0.23
(0.01)","0.008
(0.9)","-0.17
(0.06)","0.056
(0.5)","-0.11
(0.2)","-0.11
(0.2)","0.1
(0.3)","-0.4
(5e-06)","-0.34
(2e-04)","-0.18
(0.04)","-0.2
(0.03)","-0.16
(0.08)","-0.19
(0.03)","-0.097
(0.3)","-0.075
(0.4)","0.029
(0.8)","-0.036
(0.7)","-0.2
(0.03)","0.15
(0.1)","-0.11
(0.2)","-0.088
(0.3)","-0.17
(0.06)","-0.088
(0.3)","-0.071
(0.4)","0.075
(0.4)","0.03
(0.7)","0.15
(0.1)","-0.082
(0.4)","-0.051
(0.6)","0.33
(2e-04)","-0.15
(0.09)","-0.13
(0.2)","0.0095
(0.9)","-0.021
(0.8)","-0.21
(0.02)","-0.13
(0.2)","-0.085
(0.4)","0.042
(0.6)","0.0088
(0.9)","-0.072
(0.4)","0.048
(0.6)","-0.27
(0.003)","-0.073
(0.4)","-0.0069
(0.9)","-0.086
(0.4)","-0.3
(8e-04)","-0.2
(0.03)","-0.3
(8e-04)","-0.2
(0.03)","-0.051
(0.6)","-0.19
(0.04)","0.13
(0.2)","-0.05
(0.6)","0.0087
(0.9)","-0.023
(0.8)","-0.023
(0.8)","0.08
(0.4)","-0.12
(0.2)","0.18
(0.05)","-0.062
(0.5)","0.2
(0.02)","-0.11
(0.2)","-0.13
(0.2)","-0.011
(0.9)","-0.44
(4e-07)","-0.34
(2e-04)","-0.18
(0.04)"
"9","-0.49
(1e-08)","-0.18
(0.05)","-0.52
(1e-09)","-0.51
(3e-09)","0.38
(2e-05)","-0.21
(0.02)","-0.18
(0.05)","-0.074
(0.4)","0.21
(0.02)","0.066
(0.5)","-0.13
(0.1)","-0.0049
(1)","-0.13
(0.2)","-0.24
(0.008)","-0.079
(0.4)","0.27
(0.003)","0.2
(0.03)","-0.16
(0.09)","-0.19
(0.04)","-0.18
(0.05)","-0.18
(0.05)","-0.13
(0.1)","-0.067
(0.5)","-0.14
(0.1)","-0.14
(0.1)","0.023
(0.8)","-0.16
(0.08)","-0.068
(0.5)","-0.2
(0.03)","-0.11
(0.3)","-0.12
(0.2)","-0.15
(0.1)","-0.1
(0.3)","-0.084
(0.4)","-0.078
(0.4)","-0.2
(0.03)","0.02
(0.8)","-0.2
(0.03)","0.075
(0.4)","-0.08
(0.4)","-0.2
(0.03)","-0.11
(0.2)","-0.14
(0.1)","-0.075
(0.4)","-0.017
(0.9)","-0.14
(0.1)","-0.29
(0.001)","-0.07
(0.4)","-0.13
(0.1)","-0.12
(0.2)","-0.027
(0.8)","-0.17
(0.07)","-0.33
(3e-04)","-0.13
(0.2)","-0.2
(0.03)","-0.072
(0.4)","-0.17
(0.06)","-0.16
(0.08)","-0.069
(0.5)","0.01
(0.9)","-0.18
(0.05)","-0.046
(0.6)","-0.12
(0.2)","-0.11
(0.2)","-0.14
(0.1)","0.076
(0.4)","-0.094
(0.3)","0.017
(0.9)","-0.099
(0.3)","0.011
(0.9)","0.073
(0.4)","-0.29
(0.001)","-0.35
(7e-05)","-0.16
(0.09)","-0.12
(0.2)","-0.0057
(1)","-0.12
(0.2)","-0.14
(0.1)","-0.056
(0.5)","0.12
(0.2)","0.031
(0.7)","-0.059
(0.5)","0.12
(0.2)","-0.07
(0.4)","0.02
(0.8)","-0.18
(0.05)","0.033
(0.7)","0.08
(0.4)","0.07
(0.4)","0.14
(0.1)","0.22
(0.02)","0.022
(0.8)","-0.02
(0.8)","0.29
(0.001)","-0.12
(0.2)","-0.14
(0.1)","0.11
(0.2)","-0.13
(0.2)","-0.17
(0.06)","-0.054
(0.6)","0.0079
(0.9)","0.06
(0.5)","0.016
(0.9)","-0.12
(0.2)","0.22
(0.01)","-0.13
(0.1)","0.049
(0.6)","0.062
(0.5)","-0.13
(0.2)","-0.35
(8e-05)","-0.15
(0.1)","-0.3
(9e-04)","-0.075
(0.4)","0.059
(0.5)","-0.16
(0.08)","0.17
(0.06)","-0.13
(0.1)","0.098
(0.3)","0.096
(0.3)","0.085
(0.4)","0.082
(0.4)","-0.017
(0.9)","0.24
(0.008)","0.0098
(0.9)","0.13
(0.2)","-0.066
(0.5)","-0.078
(0.4)","-0.051
(0.6)","-0.38
(2e-05)","-0.35
(7e-05)","-0.16
(0.09)"
