"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","consider_cascade","network"
"82",10,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"83",11,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"84",12,0.998015873015873,0,0,"weighted","No","warming_spearman_ndgs"
"85",1,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"86",2,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"87",3,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"88",4,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"89",5,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"90",6,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"91",7,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"92",8,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"93",9,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"94",10,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"95",11,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
"96",12,0.998015873015873,0,0,"unweighted","No","warming_spearman_ndgs"
