"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","consider_cascade","network"
"94",0.7,0.169861111111111,0.015233570051025,0.0015233570051025,"weighted","Yes","warming_spearman_ndgs"
"95",0.75,0.127876984126984,0.0139713162528291,0.00139713162528291,"weighted","Yes","warming_spearman_ndgs"
"96",0.8,0.0888888888888889,0.0137261706662523,0.00137261706662523,"weighted","Yes","warming_spearman_ndgs"
"97",0.85,0.0573809523809524,0.0107596915537486,0.00107596915537486,"weighted","Yes","warming_spearman_ndgs"
"98",0.9,0.0283928571428571,0.00879991209811125,0.000879991209811125,"weighted","Yes","warming_spearman_ndgs"
"99",0.95,0.00801587301587302,0.00544596319380241,0.000544596319380241,"weighted","Yes","warming_spearman_ndgs"
"100",1,0,0,0,"weighted","Yes","warming_spearman_ndgs"
"101",0.05,0.931448412698413,0.00578896930566693,0.000578896930566693,"unweighted","Yes","warming_spearman_ndgs"
"102",0.1,0.8625,0.00920973839193345,0.000920973839193345,"unweighted","Yes","warming_spearman_ndgs"
"103",0.15,0.792599206349206,0.0116360260468502,0.00116360260468502,"unweighted","Yes","warming_spearman_ndgs"
"104",0.2,0.729305555555556,0.0124093244667133,0.00124093244667133,"unweighted","Yes","warming_spearman_ndgs"
"105",0.25,0.664007936507937,0.01344878656618,0.001344878656618,"unweighted","Yes","warming_spearman_ndgs"
"106",0.3,0.600257936507936,0.0143478614313582,0.00143478614313582,"unweighted","Yes","warming_spearman_ndgs"
"107",0.35,0.540059523809524,0.0153526594936587,0.00153526594936587,"unweighted","Yes","warming_spearman_ndgs"
"108",0.4,0.479801587301587,0.0143060198980562,0.00143060198980562,"unweighted","Yes","warming_spearman_ndgs"
"109",0.45,0.422480158730159,0.0151953061811316,0.00151953061811316,"unweighted","Yes","warming_spearman_ndgs"
"110",0.5,0.365634920634921,0.017133401539547,0.0017133401539547,"unweighted","Yes","warming_spearman_ndgs"
"111",0.55,0.312738095238095,0.0179510473421261,0.00179510473421261,"unweighted","Yes","warming_spearman_ndgs"
"112",0.6,0.262777777777778,0.0167205014022099,0.00167205014022099,"unweighted","Yes","warming_spearman_ndgs"
"113",0.65,0.212321428571429,0.0147335708424641,0.00147335708424641,"unweighted","Yes","warming_spearman_ndgs"
"114",0.7,0.167936507936508,0.0161425922041677,0.00161425922041677,"unweighted","Yes","warming_spearman_ndgs"
"115",0.75,0.125257936507937,0.0156399612730639,0.00156399612730639,"unweighted","Yes","warming_spearman_ndgs"
"116",0.8,0.0895238095238095,0.0126851281320801,0.00126851281320801,"unweighted","Yes","warming_spearman_ndgs"
"117",0.85,0.0574007936507936,0.0105340083396331,0.00105340083396331,"unweighted","Yes","warming_spearman_ndgs"
"118",0.9,0.0264880952380952,0.00873951409616365,0.000873951409616365,"unweighted","Yes","warming_spearman_ndgs"
"119",0.95,0.00706349206349206,0.00474684969810416,0.000474684969810416,"unweighted","Yes","warming_spearman_ndgs"
"120",1,0,0,0,"unweighted","Yes","warming_spearman_ndgs"
"121",0.05,0.929424603174603,0.00648169621028213,0.000648169621028213,"weighted","No","warming_spearman_ndgs"
"122",0.1,0.86093253968254,0.0083710171648488,0.00083710171648488,"weighted","No","warming_spearman_ndgs"
"123",0.15,0.793511904761905,0.0111893383049497,0.00111893383049497,"weighted","No","warming_spearman_ndgs"
"124",0.2,0.726944444444444,0.0111449158220261,0.00111449158220261,"weighted","No","warming_spearman_ndgs"
"125",0.25,0.663234126984127,0.0135390648516165,0.00135390648516165,"weighted","No","warming_spearman_ndgs"
"126",0.3,0.600555555555556,0.0155564062814427,0.00155564062814427,"weighted","No","warming_spearman_ndgs"
"127",0.35,0.542361111111111,0.0154730939827638,0.00154730939827638,"weighted","No","warming_spearman_ndgs"
"128",0.4,0.47625,0.0163699251784725,0.00163699251784725,"weighted","No","warming_spearman_ndgs"
"129",0.45,0.422539682539683,0.0149437374660041,0.00149437374660041,"weighted","No","warming_spearman_ndgs"
"130",0.5,0.364404761904762,0.0176707173240453,0.00176707173240453,"weighted","No","warming_spearman_ndgs"
"131",0.55,0.314166666666667,0.0152135222710066,0.00152135222710066,"weighted","No","warming_spearman_ndgs"
"132",0.6,0.259384920634921,0.0180418074505359,0.00180418074505359,"weighted","No","warming_spearman_ndgs"
"133",0.65,0.214861111111111,0.0167251977532212,0.00167251977532212,"weighted","No","warming_spearman_ndgs"
"134",0.7,0.171507936507936,0.016355015460526,0.0016355015460526,"weighted","No","warming_spearman_ndgs"
"135",0.75,0.125555555555556,0.0147081382263679,0.00147081382263679,"weighted","No","warming_spearman_ndgs"
"136",0.8,0.086547619047619,0.0147801486633591,0.00147801486633591,"weighted","No","warming_spearman_ndgs"
"137",0.85,0.0545039682539682,0.0120589363344016,0.00120589363344016,"weighted","No","warming_spearman_ndgs"
"138",0.9,0.026984126984127,0.00967098088642766,0.000967098088642766,"weighted","No","warming_spearman_ndgs"
"139",0.95,0.00787698412698413,0.00479796849626346,0.000479796849626346,"weighted","No","warming_spearman_ndgs"
"140",1,0,0,0,"weighted","No","warming_spearman_ndgs"
"141",0.05,0.930952380952381,0.00618499570347914,0.000618499570347914,"unweighted","No","warming_spearman_ndgs"
"142",0.1,0.862162698412698,0.0103173639627474,0.00103173639627474,"unweighted","No","warming_spearman_ndgs"
"143",0.15,0.793988095238095,0.0102500813845983,0.00102500813845983,"unweighted","No","warming_spearman_ndgs"
"144",0.2,0.727202380952381,0.0118729700824963,0.00118729700824963,"unweighted","No","warming_spearman_ndgs"
