,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
84,0.2,0.75655477,0.015801194,0.001580119,weighted,Yes,warming_pearson_idirect
85,0.25,0.693021201,0.017593402,0.00175934,weighted,Yes,warming_pearson_idirect
86,0.3,0.63319788,0.0183625,0.00183625,weighted,Yes,warming_pearson_idirect
87,0.35,0.574257951,0.019526814,0.001952681,weighted,Yes,warming_pearson_idirect
88,0.4,0.518268551,0.017930411,0.001793041,weighted,Yes,warming_pearson_idirect
89,0.45,0.459134276,0.017968065,0.001796807,weighted,Yes,warming_pearson_idirect
90,0.5,0.408074205,0.018918265,0.001891827,weighted,Yes,warming_pearson_idirect
91,0.55,0.353038869,0.019317268,0.001931727,weighted,Yes,warming_pearson_idirect
92,0.6,0.30130742,0.018356532,0.001835653,weighted,Yes,warming_pearson_idirect
93,0.65,0.249187279,0.018937364,0.001893736,weighted,Yes,warming_pearson_idirect
94,0.7,0.197738516,0.01963667,0.001963667,weighted,Yes,warming_pearson_idirect
95,0.75,0.154010601,0.016320962,0.001632096,weighted,Yes,warming_pearson_idirect
96,0.8,0.109858657,0.015011378,0.001501138,weighted,Yes,warming_pearson_idirect
97,0.85,0.071466431,0.013885302,0.00138853,weighted,Yes,warming_pearson_idirect
98,0.9,0.039187279,0.009363705,0.000936371,weighted,Yes,warming_pearson_idirect
99,0.95,0.010812721,0.006111453,0.000611145,weighted,Yes,warming_pearson_idirect
100,1,0,0,0,weighted,Yes,warming_pearson_idirect
101,0.05,0.938957597,0.007227606,0.000722761,unweighted,Yes,warming_pearson_idirect
102,0.1,0.875812721,0.010020577,0.001002058,unweighted,Yes,warming_pearson_idirect
103,0.15,0.812561837,0.013637204,0.00136372,unweighted,Yes,warming_pearson_idirect
104,0.2,0.755865724,0.012241621,0.001224162,unweighted,Yes,warming_pearson_idirect
105,0.25,0.695141343,0.01773442,0.001773442,unweighted,Yes,warming_pearson_idirect
106,0.3,0.636872792,0.015286278,0.001528628,unweighted,Yes,warming_pearson_idirect
107,0.35,0.578392226,0.017992616,0.001799262,unweighted,Yes,warming_pearson_idirect
108,0.4,0.520159011,0.020272532,0.002027253,unweighted,Yes,warming_pearson_idirect
109,0.45,0.461625442,0.018136484,0.001813648,unweighted,Yes,warming_pearson_idirect
110,0.5,0.407102473,0.018600131,0.001860013,unweighted,Yes,warming_pearson_idirect
111,0.55,0.355123675,0.019777977,0.001977798,unweighted,Yes,warming_pearson_idirect
112,0.6,0.302279152,0.015541243,0.001554124,unweighted,Yes,warming_pearson_idirect
113,0.65,0.249469965,0.0203283,0.00203283,unweighted,Yes,warming_pearson_idirect
114,0.7,0.202862191,0.015596501,0.00155965,unweighted,Yes,warming_pearson_idirect
115,0.75,0.154452297,0.016245685,0.001624569,unweighted,Yes,warming_pearson_idirect
116,0.8,0.108869258,0.014986993,0.001498699,unweighted,Yes,warming_pearson_idirect
117,0.85,0.074946996,0.013846201,0.00138462,unweighted,Yes,warming_pearson_idirect
118,0.9,0.038056537,0.010981777,0.001098178,unweighted,Yes,warming_pearson_idirect
119,0.95,0.010282686,0.005992142,0.000599214,unweighted,Yes,warming_pearson_idirect
120,1,0,0,0,unweighted,Yes,warming_pearson_idirect
121,0.05,0.938109541,0.008689816,0.000868982,weighted,No,warming_pearson_idirect
122,0.1,0.874522968,0.012009147,0.001200915,weighted,No,warming_pearson_idirect
123,0.15,0.815936396,0.012078262,0.001207826,weighted,No,warming_pearson_idirect
124,0.2,0.753674912,0.016748355,0.001674835,weighted,No,warming_pearson_idirect
125,0.25,0.691236749,0.016067979,0.001606798,weighted,No,warming_pearson_idirect
126,0.3,0.633621908,0.01704594,0.001704594,weighted,No,warming_pearson_idirect
127,0.35,0.576749117,0.018510307,0.001851031,weighted,No,warming_pearson_idirect
128,0.4,0.521448763,0.018982432,0.001898243,weighted,No,warming_pearson_idirect
129,0.45,0.462561837,0.018029449,0.001802945,weighted,No,warming_pearson_idirect
130,0.5,0.404328622,0.019867648,0.001986765,weighted,No,warming_pearson_idirect
131,0.55,0.356731449,0.018919332,0.001891933,weighted,No,warming_pearson_idirect
132,0.6,0.301819788,0.017639366,0.001763937,weighted,No,warming_pearson_idirect
133,0.65,0.252720848,0.020136489,0.002013649,weighted,No,warming_pearson_idirect
134,0.7,0.197190813,0.017527902,0.00175279,weighted,No,warming_pearson_idirect
135,0.75,0.152968198,0.016455879,0.001645588,weighted,No,warming_pearson_idirect
136,0.8,0.110689046,0.01471651,0.001471651,weighted,No,warming_pearson_idirect
137,0.85,0.07245583,0.012881969,0.001288197,weighted,No,warming_pearson_idirect
138,0.9,0.037473498,0.010412528,0.001041253,weighted,No,warming_pearson_idirect
139,0.95,0.011925795,0.005777802,0.00057778,weighted,No,warming_pearson_idirect
140,1,0,0,0,weighted,No,warming_pearson_idirect
141,0.05,0.938710247,0.010368223,0.001036822,unweighted,No,warming_pearson_idirect
142,0.1,0.875742049,0.010535232,0.001053523,unweighted,No,warming_pearson_idirect
143,0.15,0.814787986,0.013923127,0.001392313,unweighted,No,warming_pearson_idirect
144,0.2,0.758780919,0.012793451,0.001279345,unweighted,No,warming_pearson_idirect
145,0.25,0.691890459,0.017545881,0.001754588,unweighted,No,warming_pearson_idirect
146,0.3,0.635106007,0.018617541,0.001861754,unweighted,No,warming_pearson_idirect
147,0.35,0.575176678,0.017928925,0.001792893,unweighted,No,warming_pearson_idirect
148,0.4,0.519911661,0.020511823,0.002051182,unweighted,No,warming_pearson_idirect
149,0.45,0.462031802,0.019258605,0.001925861,unweighted,No,warming_pearson_idirect
150,0.5,0.406272085,0.020890353,0.002089035,unweighted,No,warming_pearson_idirect
151,0.55,0.353657244,0.01832668,0.001832668,unweighted,No,warming_pearson_idirect
152,0.6,0.295918728,0.020440435,0.002044044,unweighted,No,warming_pearson_idirect
153,0.65,0.249787986,0.018758129,0.001875813,unweighted,No,warming_pearson_idirect
154,0.7,0.200212014,0.017394248,0.001739425,unweighted,No,warming_pearson_idirect
155,0.75,0.155106007,0.016498199,0.00164982,unweighted,No,warming_pearson_idirect
156,0.8,0.110636042,0.014127091,0.001412709,unweighted,No,warming_pearson_idirect
157,0.85,0.070777385,0.013457351,0.001345735,unweighted,No,warming_pearson_idirect
158,0.9,0.038957597,0.010014534,0.001001453,unweighted,No,warming_pearson_idirect
159,0.95,0.010123675,0.004848986,0.000484899,unweighted,No,warming_pearson_idirect
160,1,0,0,0,unweighted,No,warming_pearson_idirect
161,0.05,0.934884259,0.005589889,0.000558989,weighted,Yes,warming_spearman_idirect
162,0.1,0.871134259,0.008877604,0.00088776,weighted,Yes,warming_spearman_idirect
163,0.15,0.809097222,0.011860262,0.001186026,weighted,Yes,warming_spearman_idirect
164,0.2,0.74775463,0.012967701,0.00129677,weighted,Yes,warming_spearman_idirect
165,0.25,0.684837963,0.014354096,0.00143541,weighted,Yes,warming_spearman_idirect
166,0.3,0.624976852,0.012926063,0.001292606,weighted,Yes,warming_spearman_idirect
167,0.35,0.566412037,0.015133528,0.001513353,weighted,Yes,warming_spearman_idirect
168,0.4,0.506111111,0.018302495,0.00183025,weighted,Yes,warming_spearman_idirect
169,0.45,0.450486111,0.016901479,0.001690148,weighted,Yes,warming_spearman_idirect
170,0.5,0.396550926,0.018968118,0.001896812,weighted,Yes,warming_spearman_idirect
171,0.55,0.338194444,0.02068995,0.002068995,weighted,Yes,warming_spearman_idirect
172,0.6,0.285231481,0.022774719,0.002277472,weighted,Yes,warming_spearman_idirect
173,0.65,0.23787037,0.016721912,0.001672191,weighted,Yes,warming_spearman_idirect
174,0.7,0.18662037,0.017038259,0.001703826,weighted,Yes,warming_spearman_idirect
175,0.75,0.141365741,0.015415448,0.001541545,weighted,Yes,warming_spearman_idirect
176,0.8,0.10224537,0.014809462,0.001480946,weighted,Yes,warming_spearman_idirect
177,0.85,0.064884259,0.012135446,0.001213545,weighted,Yes,warming_spearman_idirect
178,0.9,0.032615741,0.010125359,0.001012536,weighted,Yes,warming_spearman_idirect
179,0.95,0.010833333,0.006529736,0.000652974,weighted,Yes,warming_spearman_idirect
180,1,0,0,0,weighted,Yes,warming_spearman_idirect
181,0.05,0.934282407,0.007729331,0.000772933,unweighted,Yes,warming_spearman_idirect
182,0.1,0.872476852,0.008767421,0.000876742,unweighted,Yes,warming_spearman_idirect
183,0.15,0.808819444,0.012297777,0.001229778,unweighted,Yes,warming_spearman_idirect
184,0.2,0.748009259,0.013320048,0.001332005,unweighted,Yes,warming_spearman_idirect
185,0.25,0.685787037,0.0158768,0.00158768,unweighted,Yes,warming_spearman_idirect
186,0.3,0.623333333,0.016091684,0.001609168,unweighted,Yes,warming_spearman_idirect
187,0.35,0.565277778,0.015446122,0.001544612,unweighted,Yes,warming_spearman_idirect
188,0.4,0.508078704,0.019711984,0.001971198,unweighted,Yes,warming_spearman_idirect
189,0.45,0.45349537,0.017690693,0.001769069,unweighted,Yes,warming_spearman_idirect
190,0.5,0.390648148,0.0174008,0.00174008,unweighted,Yes,warming_spearman_idirect
191,0.55,0.338981481,0.018504835,0.001850484,unweighted,Yes,warming_spearman_idirect
192,0.6,0.286527778,0.017895973,0.001789597,unweighted,Yes,warming_spearman_idirect
193,0.65,0.233865741,0.017562832,0.001756283,unweighted,Yes,warming_spearman_idirect
194,0.7,0.192638889,0.016894064,0.001689406,unweighted,Yes,warming_spearman_idirect
195,0.75,0.141944444,0.018137208,0.001813721,unweighted,Yes,warming_spearman_idirect
196,0.8,0.100763889,0.015433695,0.001543369,unweighted,Yes,warming_spearman_idirect
197,0.85,0.066550926,0.013929262,0.001392926,unweighted,Yes,warming_spearman_idirect
198,0.9,0.031689815,0.010345341,0.001034534,unweighted,Yes,warming_spearman_idirect
199,0.95,0.010902778,0.006680634,0.000668063,unweighted,Yes,warming_spearman_idirect
200,1,0,0,0,unweighted,Yes,warming_spearman_idirect
201,0.05,0.935393519,0.00671135,0.000671135,weighted,No,warming_spearman_idirect
202,0.1,0.871944444,0.00837454,0.000837454,weighted,No,warming_spearman_idirect
203,0.15,0.807152778,0.012331181,0.001233118,weighted,No,warming_spearman_idirect
204,0.2,0.74599537,0.013545029,0.001354503,weighted,No,warming_spearman_idirect
