,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
369,5,0.626212871,0.009759306,0.000975931,unweighted,Yes,control_pearson
370,6,0.61960396,0.009126092,0.000912609,unweighted,Yes,control_pearson
371,7,0.61470297,0.009448218,0.000944822,unweighted,Yes,control_pearson
372,8,0.609381188,0.008877318,0.000887732,unweighted,Yes,control_pearson
373,9,0.602846535,0.009720419,0.000972042,unweighted,Yes,control_pearson
374,10,0.597029703,0.008175474,0.000817547,unweighted,Yes,control_pearson
375,11,0.590321782,0.006308166,0.000630817,unweighted,Yes,control_pearson
376,12,0.584158416,0,0,unweighted,Yes,control_pearson
377,1,0.646435644,0.004304829,0.000430483,weighted,No,control_pearson
378,2,0.641435644,0.006506415,0.000650642,weighted,No,control_pearson
379,3,0.637450495,0.007213994,0.000721399,weighted,No,control_pearson
380,4,0.630742574,0.008634781,0.000863478,weighted,No,control_pearson
381,5,0.626782178,0.010120944,0.001012094,weighted,No,control_pearson
382,6,0.620074257,0.009612348,0.000961235,weighted,No,control_pearson
383,7,0.617277228,0.010122167,0.001012217,weighted,No,control_pearson
384,8,0.609653465,0.010217828,0.001021783,weighted,No,control_pearson
385,9,0.604876238,0.009411696,0.00094117,weighted,No,control_pearson
386,10,0.596410891,0.008826139,0.000882614,weighted,No,control_pearson
387,11,0.591212871,0.007109607,0.000710961,weighted,No,control_pearson
388,12,0.584158416,0,0,weighted,No,control_pearson
389,1,0.644207921,0.004346321,0.000434632,unweighted,No,control_pearson
390,2,0.640222772,0.006198112,0.000619811,unweighted,No,control_pearson
391,3,0.635618812,0.007323318,0.000732332,unweighted,No,control_pearson
392,4,0.631559406,0.008253637,0.000825364,unweighted,No,control_pearson
393,5,0.625940594,0.008943889,0.000894389,unweighted,No,control_pearson
394,6,0.620321782,0.00929418,0.000929418,unweighted,No,control_pearson
395,7,0.61490099,0.009289418,0.000928942,unweighted,No,control_pearson
396,8,0.608366337,0.009873324,0.000987332,unweighted,No,control_pearson
397,9,0.602846535,0.009264034,0.000926403,unweighted,No,control_pearson
398,10,0.598712871,0.008177593,0.000817759,unweighted,No,control_pearson
399,11,0.591262376,0.007129426,0.000712943,unweighted,No,control_pearson
400,12,0.584158416,0,0,unweighted,No,control_pearson
,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
1,1,0.986741573,0.006263045,0.000626305,weighted,Yes,control_spearman_ndgs
2,2,0.975730337,0.007269462,0.000726946,weighted,Yes,control_spearman_ndgs
3,3,0.962134831,0.008071438,0.000807144,weighted,Yes,control_spearman_ndgs
4,4,0.951123596,0.006054961,0.000605496,weighted,Yes,control_spearman_ndgs
5,5,0.936329588,0,0,weighted,Yes,control_spearman_ndgs
6,1,0.987191011,0.006588509,0.000658851,unweighted,Yes,control_spearman_ndgs
7,2,0.97670412,0.007797956,0.000779796,unweighted,Yes,control_spearman_ndgs
8,3,0.96164794,0.007549423,0.000754942,unweighted,Yes,control_spearman_ndgs
9,4,0.95,0.006396349,0.000639635,unweighted,Yes,control_spearman_ndgs
10,5,0.936329588,0,0,unweighted,Yes,control_spearman_ndgs
11,1,0.988089888,0.00639646,0.000639646,weighted,No,control_spearman_ndgs
12,2,0.974719101,0.007554208,0.000755421,weighted,No,control_spearman_ndgs
13,3,0.962771536,0.007334274,0.000733427,weighted,No,control_spearman_ndgs
14,4,0.94917603,0.005589659,0.000558966,weighted,No,control_spearman_ndgs
15,5,0.936329588,0,0,weighted,No,control_spearman_ndgs
16,1,0.989363296,0.005601433,0.000560143,unweighted,No,control_spearman_ndgs
17,2,0.975955056,0.007512924,0.000751292,unweighted,No,control_spearman_ndgs
18,3,0.964044944,0.007805583,0.000780558,unweighted,No,control_spearman_ndgs
19,4,0.949400749,0.006104369,0.000610437,unweighted,No,control_spearman_ndgs
20,5,0.936329588,0,0,unweighted,No,control_spearman_ndgs
21,1,0.986741573,0.006263045,0.000626305,weighted,Yes,control_spearman_ndgs
22,2,0.975730337,0.007269462,0.000726946,weighted,Yes,control_spearman_ndgs
23,3,0.962134831,0.008071438,0.000807144,weighted,Yes,control_spearman_ndgs
24,4,0.951123596,0.006054961,0.000605496,weighted,Yes,control_spearman_ndgs
25,5,0.936329588,0,0,weighted,Yes,control_spearman_ndgs
26,1,0.987191011,0.006588509,0.000658851,unweighted,Yes,control_spearman_ndgs
27,2,0.97670412,0.007797956,0.000779796,unweighted,Yes,control_spearman_ndgs
28,3,0.96164794,0.007549423,0.000754942,unweighted,Yes,control_spearman_ndgs
29,4,0.95,0.006396349,0.000639635,unweighted,Yes,control_spearman_ndgs
30,5,0.936329588,0,0,unweighted,Yes,control_spearman_ndgs
31,1,0.988089888,0.00639646,0.000639646,weighted,No,control_spearman_ndgs
32,2,0.974719101,0.007554208,0.000755421,weighted,No,control_spearman_ndgs
33,3,0.962771536,0.007334274,0.000733427,weighted,No,control_spearman_ndgs
34,4,0.94917603,0.005589659,0.000558966,weighted,No,control_spearman_ndgs
35,5,0.936329588,0,0,weighted,No,control_spearman_ndgs
36,1,0.989363296,0.005601433,0.000560143,unweighted,No,control_spearman_ndgs
37,2,0.975955056,0.007512924,0.000751292,unweighted,No,control_spearman_ndgs
38,3,0.964044944,0.007805583,0.000780558,unweighted,No,control_spearman_ndgs
39,4,0.949400749,0.006104369,0.000610437,unweighted,No,control_spearman_ndgs
40,5,0.936329588,0,0,unweighted,No,control_spearman_ndgs
,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
1,1,0.99225,0.002853759,0.000285376,weighted,Yes,warming_spearman_ndgs
2,2,0.984025,0.003758744,0.000375874,weighted,Yes,warming_spearman_ndgs
3,3,0.9761,0.00473169,0.000473169,weighted,Yes,warming_spearman_ndgs
4,4,0.967625,0.004134344,0.000413434,weighted,Yes,warming_spearman_ndgs
5,5,0.959525,0.004815996,0.0004816,weighted,Yes,warming_spearman_ndgs
6,6,0.951125,0.005520565,0.000552057,weighted,Yes,warming_spearman_ndgs
7,7,0.94335,0.00506548,0.000506548,weighted,Yes,warming_spearman_ndgs
8,8,0.93395,0.00410069,0.000410069,weighted,Yes,warming_spearman_ndgs
9,9,0.92585,0.004192646,0.000419265,weighted,Yes,warming_spearman_ndgs
10,10,0.916975,0.003611412,0.000361141,weighted,Yes,warming_spearman_ndgs
11,11,0.90855,0.002868762,0.000286876,weighted,Yes,warming_spearman_ndgs
12,12,0.9,0,0,weighted,Yes,warming_spearman_ndgs
13,1,0.992125,0.002828762,0.000282876,unweighted,Yes,warming_spearman_ndgs
14,2,0.984225,0.003402595,0.000340259,unweighted,Yes,warming_spearman_ndgs
15,3,0.976,0.003940851,0.000394085,unweighted,Yes,warming_spearman_ndgs
16,4,0.967725,0.00498856,0.000498856,unweighted,Yes,warming_spearman_ndgs
17,5,0.96005,0.005185693,0.000518569,unweighted,Yes,warming_spearman_ndgs
18,6,0.9518,0.004847159,0.000484716,unweighted,Yes,warming_spearman_ndgs
19,7,0.942625,0.004583333,0.000458333,unweighted,Yes,warming_spearman_ndgs
20,8,0.935225,0.00488627,0.000488627,unweighted,Yes,warming_spearman_ndgs
21,9,0.926125,0.004254751,0.000425475,unweighted,Yes,warming_spearman_ndgs
22,10,0.9168,0.003989886,0.000398989,unweighted,Yes,warming_spearman_ndgs
23,11,0.908575,0.002914068,0.000291407,unweighted,Yes,warming_spearman_ndgs
24,12,0.9,0,0,unweighted,Yes,warming_spearman_ndgs
25,1,0.9919,0.002800613,0.000280061,weighted,No,warming_spearman_ndgs
26,2,0.98455,0.003524446,0.000352445,weighted,No,warming_spearman_ndgs
27,3,0.97625,0.004734091,0.000473409,weighted,No,warming_spearman_ndgs
28,4,0.968975,0.004808124,0.000480812,weighted,No,warming_spearman_ndgs
29,5,0.95995,0.004961722,0.000496172,weighted,No,warming_spearman_ndgs
30,6,0.950675,0.005073388,0.000507339,weighted,No,warming_spearman_ndgs
31,7,0.9429,0.004868472,0.000486847,weighted,No,warming_spearman_ndgs
32,8,0.934,0.004264014,0.000426401,weighted,No,warming_spearman_ndgs
33,9,0.9265,0.004480598,0.00044806,weighted,No,warming_spearman_ndgs
34,10,0.917825,0.003307762,0.000330776,weighted,No,warming_spearman_ndgs
35,11,0.9084,0.002854201,0.00028542,weighted,No,warming_spearman_ndgs
36,12,0.9,0,0,weighted,No,warming_spearman_ndgs
37,1,0.991825,0.002905389,0.000290539,unweighted,No,warming_spearman_ndgs
38,2,0.98355,0.003862864,0.000386286,unweighted,No,warming_spearman_ndgs
39,3,0.975925,0.004489817,0.000448982,unweighted,No,warming_spearman_ndgs
40,4,0.967775,0.005111077,0.000511108,unweighted,No,warming_spearman_ndgs
41,5,0.9604,0.004868472,0.000486847,unweighted,No,warming_spearman_ndgs
42,6,0.95215,0.004962231,0.000496223,unweighted,No,warming_spearman_ndgs
43,7,0.94285,0.005037987,0.000503799,unweighted,No,warming_spearman_ndgs
44,8,0.934025,0.004436633,0.000443663,unweighted,No,warming_spearman_ndgs
45,9,0.9264,0.004678017,0.000467802,unweighted,No,warming_spearman_ndgs
46,10,0.916975,0.003504957,0.000350496,unweighted,No,warming_spearman_ndgs
47,11,0.908975,0.002822506,0.000282251,unweighted,No,warming_spearman_ndgs
48,12,0.9,0,0,unweighted,No,warming_spearman_ndgs
49,1,0.99225,0.002853759,0.000285376,weighted,Yes,warming_spearman_ndgs
50,2,0.984025,0.003758744,0.000375874,weighted,Yes,warming_spearman_ndgs
51,3,0.9761,0.00473169,0.000473169,weighted,Yes,warming_spearman_ndgs
52,4,0.967625,0.004134344,0.000413434,weighted,Yes,warming_spearman_ndgs
53,5,0.959525,0.004815996,0.0004816,weighted,Yes,warming_spearman_ndgs
54,6,0.951125,0.005520565,0.000552057,weighted,Yes,warming_spearman_ndgs
55,7,0.94335,0.00506548,0.000506548,weighted,Yes,warming_spearman_ndgs
56,8,0.93395,0.00410069,0.000410069,weighted,Yes,warming_spearman_ndgs
57,9,0.92585,0.004192646,0.000419265,weighted,Yes,warming_spearman_ndgs
58,10,0.916975,0.003611412,0.000361141,weighted,Yes,warming_spearman_ndgs
59,11,0.90855,0.002868762,0.000286876,weighted,Yes,warming_spearman_ndgs
60,12,0.9,0,0,weighted,Yes,warming_spearman_ndgs
61,1,0.992125,0.002828762,0.000282876,unweighted,Yes,warming_spearman_ndgs
62,2,0.984225,0.003402595,0.000340259,unweighted,Yes,warming_spearman_ndgs
63,3,0.976,0.003940851,0.000394085,unweighted,Yes,warming_spearman_ndgs
64,4,0.967725,0.00498856,0.000498856,unweighted,Yes,warming_spearman_ndgs
65,5,0.96005,0.005185693,0.000518569,unweighted,Yes,warming_spearman_ndgs
66,6,0.9518,0.004847159,0.000484716,unweighted,Yes,warming_spearman_ndgs
67,7,0.942625,0.004583333,0.000458333,unweighted,Yes,warming_spearman_ndgs
68,8,0.935225,0.00488627,0.000488627,unweighted,Yes,warming_spearman_ndgs
69,9,0.926125,0.004254751,0.000425475,unweighted,Yes,warming_spearman_ndgs
70,10,0.9168,0.003989886,0.000398989,unweighted,Yes,warming_spearman_ndgs
71,11,0.908575,0.002914068,0.000291407,unweighted,Yes,warming_spearman_ndgs
72,12,0.9,0,0,unweighted,Yes,warming_spearman_ndgs
73,1,0.9919,0.002800613,0.000280061,weighted,No,warming_spearman_ndgs
74,2,0.98455,0.003524446,0.000352445,weighted,No,warming_spearman_ndgs
75,3,0.97625,0.004734091,0.000473409,weighted,No,warming_spearman_ndgs
76,4,0.968975,0.004808124,0.000480812,weighted,No,warming_spearman_ndgs
77,5,0.95995,0.004961722,0.000496172,weighted,No,warming_spearman_ndgs
78,6,0.950675,0.005073388,0.000507339,weighted,No,warming_spearman_ndgs
79,7,0.9429,0.004868472,0.000486847,weighted,No,warming_spearman_ndgs
80,8,0.934,0.004264014,0.000426401,weighted,No,warming_spearman_ndgs
81,9,0.9265,0.004480598,0.00044806,weighted,No,warming_spearman_ndgs
82,10,0.917825,0.003307762,0.000330776,weighted,No,warming_spearman_ndgs
83,11,0.9084,0.002854201,0.00028542,weighted,No,warming_spearman_ndgs
84,12,0.9,0,0,weighted,No,warming_spearman_ndgs
85,1,0.991825,0.002905389,0.000290539,unweighted,No,warming_spearman_ndgs
86,2,0.98355,0.003862864,0.000386286,unweighted,No,warming_spearman_ndgs
87,3,0.975925,0.004489817,0.000448982,unweighted,No,warming_spearman_ndgs
88,4,0.967775,0.005111077,0.000511108,unweighted,No,warming_spearman_ndgs
89,5,0.9604,0.004868472,0.000486847,unweighted,No,warming_spearman_ndgs
90,6,0.95215,0.004962231,0.000496223,unweighted,No,warming_spearman_ndgs
91,7,0.94285,0.005037987,0.000503799,unweighted,No,warming_spearman_ndgs
92,8,0.934025,0.004436633,0.000443663,unweighted,No,warming_spearman_ndgs
93,9,0.9264,0.004678017,0.000467802,unweighted,No,warming_spearman_ndgs
94,10,0.916975,0.003504957,0.000350496,unweighted,No,warming_spearman_ndgs
95,11,0.908975,0.002822506,0.000282251,unweighted,No,warming_spearman_ndgs
96,12,0.9,0,0,unweighted,No,warming_spearman_ndgs
